[0.0 - 2.5] 今天想跟朋友们分享一个比较前沿的思考,
[2.5 - 6.3] 那这也是我这几个月尤其是近一个月以来
[6.3 - 7.5] 重点思考的问题。
[7.5 - 9.8] 不少朋友这几个月以来经常会问,
[9.8 - 11.5] 金到底什么时候能上涨?
[11.5 - 14.5] 那我们知道如果从历史长河来看,
[14.5 - 17.0] 长期它就是不断上涨的趋势的。
[17.0 - 19.5] 那当前呢,很现实它在被压制着。
[19.5 - 22.5] 那原因也非常明确,就是对于美来说,
[22.5 - 25.5] 现在它必须要恢复美元信用,
[25.5 - 27.5] 要先推进强美元,
[27.5 - 29.5] 未来才能弱美元。
[29.5 - 35.4] 也就是說當下這個階段它需要讓更多的國家繼續擁有美元以及美元資產
[36.0 - 39.4] 依舊把它們作為自己國家最重要的外匯儲備
[39.4 - 41.2] 所以在這個階段還沒有完成之前
[41.2 - 45.9] 它是不能讓金的重要性高於美元以及美元資產的重要性的
[45.9 - 48.6] 而在這個過程中它利用的就是中東事件
[49.0 - 52.7] 讓大家對於金的看法從以前傳統的避險資產
[53.2 - 55.6] 轉移一部分到有可能的風險資產
[55.6 - 59.4] 好 那當我們討論未來什麼時候金會上漲
[59.5 - 64.9] 很多人或者是说我们传统的思路会把它跟美接下来
[64.9 - 69.2] 也就是说到未来的某一个时间点降息很直接的去挂钩
[69.2 - 70.8] 但经过这段时间我的思考
[70.8 - 73.6] 得出的结论似乎并不是这么简单了
[73.6 - 75.5] 好 那在这里稍微按一个暂停键
[75.5 - 77.5] 就是接下来要讲的相关内容
[77.5 - 79.9] 是需要你对前面的几条视频
[79.9 - 82.8] 充分的消化吸收之后再继续的
[82.8 - 84.9] 好 那前一条视频我们跟大家分享了
[84.9 - 87.6] 美在这两天突然透露出
[87.6 - 92.3] 接下來要在全球加速去推進美元穩定幣的計劃
[92.3 - 94.3] 那在視頻中也跟大家分享了
[94.3 - 96.7] 對於接下來美元體系2.0
[96.7 - 99.0] 在我理解這四個元素
[99.0 - 104.1] 最終他們的推進方向應該是需要由加密資產
[104.1 - 106.4] 尤其是穩定幣穿在一起的
[106.4 - 108.3] 好 那在之前的這一年多的時間
[108.3 - 110.3] 美的不管是私人公司也好
[110.3 - 111.9] 還是銀行也好
[111.9 - 115.1] 其實都在加速的去跟穩定幣再做融合
[115.1 - 116.5] 與此同時在前面的視頻中
[116.5 - 117.7] 也跟大家具体分享了
[118.3 - 119.3] 在大宗商品
[119.3 - 121.5] 尤其是对于全球各个国家
[121.5 - 124.1] 日常生活都离不开的石油
[124.1 - 126.0] 以及接下来对于全球经济发展
[126.0 - 127.7] 至关重要的AI方面
[128.3 - 131.8] 在推进或者是说正在准备加速推进
[131.8 - 133.3] 跟稳定币的融合
[133.3 - 135.7] 好 那再往后方向其实就是
[135.7 - 138.7] 要让各种资产跟稳定币挂钩
[139.3 - 142.3] 当然我们知道现在全球的这些稳定币
[142.9 - 145.1] 主要或者是说几乎大部分
[145.1 - 146.7] 都是以美元计价的
[146.7 - 149.0] 也就是说他们正在推进的思路是
[149.0 - 150.7] 以美元计价的稳定币
[150.7 - 154.5] 要跟越来越多的现实资产去挂钩
[154.5 - 156.4] 以及未来的上链
[156.4 - 158.0] 从资本市场到房地产
[158.0 - 159.5] 从石油到AI
[159.5 - 162.7] 当然其实现在已经有代币化黄金了
[162.7 - 166.2] 也就是说当前面的这些逐步跑通成熟
[166.2 - 168.2] 并且接下来快速发展的话
[168.2 - 170.0] 更多的大宗以及金
[170.0 - 172.8] 也会被逐步纳入到这个体系中
[172.8 - 173.7] 所以我的理解是
[173.7 - 176.5] 当未来某一天稳定币越来越广泛的发展
[176.9 - 179.7] 那代币化黄金被越来越多的国家
[179.7 - 181.2] 或者是说地区所接受
[181.2 - 183.0] 到那个时候没可能才能放心
[183.0 - 186.1] 在下一个阶段让金去上涨
[186.1 - 189.1] 那我们说的上涨是相对来说不受压制的上涨
[189.1 - 190.8] 因为不管是代币化黄金
[190.8 - 194.6] 还是稳定币跟黄金之间的进一步的绑定
[195.1 - 198.9] 背后依旧是在以美元计价的美元体系中
[198.9 - 199.1] 好
