[0.0 - 3.5] 当下金融市场的变化速度实在是太快了。
[3.5 - 7.8] 早上的视频还在跟大家说关于CME抢钱大战的第二期,
[7.8 - 9.8] 下午就看到了这个信息。
[9.8 - 14.4] 周记交易所ICE,也就是大家熟知的纽交所的母公司,
[14.4 - 19.9] 计划在8月份推出一个新的合约,叫经济指标期货合约。
[19.9 - 24.5] 那这批合约挂钩的是全球三大央行,美联储、
[24.5 - 28.8] 欧洲央行、英国央行的货币政策的决议,
[28.8 - 31.5] 以及没天然气的库存
[31.5 - 33.3] 我不知道大家理解没有啊
[33.3 - 34.7] 白话跟大家解释一下
[34.7 - 37.7] 就是大家知道我们传统的这些期货合约
[37.7 - 39.9] 要不然就是挂钩实物资产
[39.9 - 43.8] 像黄金啊白银啊什么原油啊棉花啊等等
[43.8 - 45.3] 要不然就是金融资产
[45.3 - 46.7] 比如说股票指数啊
[46.7 - 48.9] 或者是说某些具体的债券啊
[48.9 - 51.2] 那这次爱森要做的这个创新产品
[51.2 - 54.9] 是要把宏观经济数据或者事件的结果
[54.9 - 56.3] 作为期货产品
[56.3 - 57.9] 好产品主要涵盖两大类
[57.9 - 61.4] 第一是全球重要货币政策决议的相关期货
[61.4 - 63.8] 挂钩的就是美联储欧洲央行
[63.8 - 66.4] 以及英国央行的利率决策
[66.4 - 69.4] 另外一个是美国天然气的库存期货
[69.8 - 71.4] 这个产品它挂钩的
[71.4 - 73.6] EIA也就是美国能源信息署
[73.6 - 75.6] 每周四定期去公布的
[75.7 - 78.3] 美国天然气库存的实际数据
[78.5 - 79.1] 说实话
[79.1 - 82.7] 这真的是全球金融衍生品市场的创新了
[82.7 - 83.0] 好
[83.0 - 84.3] 那为什么要做这样的产品
[84.8 - 87.5] 我理解首先肯定就是对于特定事件
[87.5 - 88.5] 对冲的需求了
[88.5 - 91.8] 那这几个月以来大家应该非常切实的感受到
[92.1 - 96.8] 现在我们的全球市场受宏观相关政策或者事件的影响
[96.8 - 98.0] 是非常显著的
[98.0 - 100.8] 比如大家都关注的美联储加息或者降息
[100.8 - 105.7] 比如EIA公布的相关美国能源方面的库存减少或者增加
[105.7 - 108.3] 每次公布相关的决策或者数据
[108.3 - 111.4] 就会对相应的市场产生非常直接的影响
[111.4 - 113.8] 那推出这类产品其实就是为了
[113.8 - 116.7] 给相应的投资者一个非常直接的工具
[116.7 - 118.8] 可以去对冲相应的风险
[118.8 - 120.2] 好 那在这大家想一想
[120.2 - 122.5] 这是不是也就从另外一个层面反映出
[122.5 - 125.0] 接下来美联储的相关决策
[125.0 - 127.7] 不确定性比之前是要大得多的呢
[127.7 - 129.9] 以及未来有可能发生的各种地缘事件
[129.9 - 133.8] 尤其是跟能源密切相关的地缘冲突地缘事件
[133.8 - 136.1] 比之前也是要多很多的呢
[136.1 - 138.5] 第二 以前如果相关的投资者
[138.5 - 142.1] 想要去对冲美联储有可能的加息降息
[142.1 - 146.4] 那么他就要买卖两年期国债 黄金外汇等等
[146.4 - 148.6] 但这些产品不仅会受利率的影响
[148.6 - 151.4] 它还会受信用的风险 地缘的风险
[151.4 - 153.7] 以及其他相应的干扰因素
[153.7 - 155.0] 那ICE推出这个产品
[155.0 - 158.6] 其实也就是说希望能够让相关的投资者
[158.6 - 160.9] 只为数据本身去买单
[160.9 - 163.8] 好了 那这个期货合约的推出
[163.8 - 167.5] 其实也就意味着我们这么多年所认识的衍生品市场
[167.5 - 170.0] 已经从资产时代
[170.0 - 173.3] 要向下一个数据 世间时代去迈进了
[173.3 - 175.8] 把纯粹的宏观经济指标产品化
[175.8 - 179.2] 可以非常直接的去丰富大家的投资工具
[179.2 - 182.8] 可能有些人会觉得这是不是就是增加了几个新的金融产品呢
[182.8 - 185.8] 但其实从整体的金融生态上
[185.8 - 187.8] 从交易的策略上
[187.8 - 189.8] 都会产生非常深远的影响的
[189.8 - 192.2] 好 那我们举个例子方便大家理解
[192.2 - 193.9] 没有任何的投资引导性
[193.9 - 196.9] 以前如果有一个基金预测
[196.9 - 200.6] 接下来9月份美联储要超逾期的降息
[200.6 - 203.9] 他就会通过做多两年期的国债
[203.9 - 205.0] 从而实现获利
[205.0 - 206.2] 但是到了会议前
[206.2 - 208.4] 突然发生了一个国际地缘冲突
[208.4 - 211.8] 这就会引发相应的避险资金去买美债
[211.8 - 212.5] 这么一来
[212.5 - 215.0] 尽管到时候美联储是降息了
[215.0 - 218.8] 但国债的价格却由于一些突发的事件
[218.8 - 220.4] 会发生非常剧烈的波动
[220.4 - 222.2] 那这就会导致这个基金
[222.2 - 223.9] 不仅可能没有赚到钱
[223.9 - 225.4] 甚至还会有亏损
[225.4 - 228.0] 而接下来SE的这个新合约上线以后
[228.0 - 230.0] 那交易员就可以绕过
[230.0 - 233.4] 像国债黄金外汇这种传统的中间载体
[233.4 - 237.6] 他就可以直接买入美联储9月决议期货
[237.6 - 241.4] 这样就把之前很复杂的多变量的资产交易
[241.4 - 245.2] 简化为对于央行决议结果的相关博弈了
[245.2 - 248.6] 也就是说改变了以前的这种合成性的对冲
[248.6 - 251.8] 变为了以后纯粹的宏观博弈
[251.8 - 253.6] 再有就是这个新合约
[253.6 - 258.8] 那是真金白银的要对央行的决策结果进行交易撮合
[258.8 - 261.2] 那在我来看新合约的这个计时价格
[261.2 - 264.2] 其实就是希望能够成为全球金融市场
[264.6 - 267.9] 最直观流动性最好的政策概率风向标
[268.2 - 269.0] 大家想一想
[269.0 - 271.1] 这是不是也就是更进一步的
[271.2 - 271.9] 与其管理了
[272.0 - 274.2] 也就是说他想更直接的去引导
[274.2 - 276.6] 直到全球股市债市大宗商品
[276.6 - 279.4] 在央行开会之前的与其定价
[279.6 - 281.1] 听完以上大家应该能理解
[281.4 - 283.2] 他们现在想要做的就是
[283.2 - 285.2] 如果一个重要的数据
[285.2 - 287.4] 宏观指标有足够的影响力
[287.4 - 288.6] 比如说央行决议
[288.6 - 290.2] 飞龙数据CPI等等
[290.2 - 294.9] 那么它就可以脱离我们传统认识的这些金融资产
[294.9 - 299.2] 被很独立的打造成一个完全标准化的金融衍生品
[299.2 - 300.4] 好 那我们再说说
[300.4 - 303.2] 对于其他的交易所都会有哪些挑战呢
[303.2 - 307.3] 首先对于智商所CME就是最直接的交板了
[307.3 - 310.4] 因为CME在短期利率以及美国能源方面
[310.4 - 312.4] 一直都是处于垄断地位的
[312.4 - 314.6] 比如说他的联邦基金利率期货
[314.6 - 316.4] 比如说他的天人气期货
[316.4 - 319.1] 那ICE这次推出的这个新合约
[319.1 - 321.8] 其实就是要在CME最赚钱的
[321.8 - 323.5] 核心产品里抢生意
[323.5 - 325.0] 当然他们的产品也是不同的
[325.0 - 328.1] 简单说就是CME他盯的是
[328.1 - 329.6] 全月的平均水平
[329.6 - 332.4] 而ICE的产品他盯的是某一次
[332.4 - 335.1] 议席会议特定的利率决策结果
[335.1 - 336.7] 也就是说他不受全月
[336.7 - 339.0] 其他日子相关利率变化的影响
[339.0 - 340.2] 所以大家能够看出来
[340.2 - 341.9] 那ICE他做的这个产品
[341.9 - 344.7] 就是要把对于单一事件结果的压住
[344.7 - 346.8] 彻底的合规化 标准化
[346.8 - 348.4] 所以ICE也明确说了
[348.4 - 350.0] 他们的这个新的合约
[350.0 - 351.8] 是紧跟着他之前推出的
[351.8 - 355.8] ICE Polymarket信号与情绪服务而来的
[355.8 - 358.1] 我们知道Polymarket是website预测市场
[358.1 - 359.7] 用加密货币就可以参与
[359.7 - 361.0] 但华尔街的正规军
[361.0 - 363.6] 是不能在Polymarket上进行交易的
[363.6 - 365.8] 而ICE推出的这个新的期货
[365.8 - 368.2] 是受美国相关部门的监管的
[368.2 - 370.9] 并且是要用美元进行现金结算的
[370.9 - 373.7] 所以你可以理解为现在爱森易要做的这个事情
[373.7 - 378.0] 就是想切入万物皆可预测的这个新的赛道
[378.0 - 382.8] 并且他要在CME这些传统的老对手反应过来之前
[382.8 - 388.0] 先建立自己在宏观事件 宏观数据衍生品方面的先发数据优势
[388.0 - 392.2] 好 那我们再想想当投资者发现直接去交易决议结果
[392.2 - 395.7] 比像以前那样去交易国债期货 天然气期货
[395.7 - 398.8] 更直接占的保证金更少的时候
[398.8 - 403.0] 那么传统品种的流动性有可能就会被部分的蚕食掉了
[403.0 - 406.0] 好 那接下来我们再说说有可能会有哪些风险吧
[406.0 - 410.0] 任何金融方面的颠覆性创新其实都是双人间
[410.0 - 414.2] 这个新的产品它确实在很大程度上简化了宏观对冲的路径
[414.2 - 417.6] 但它也打破了传统资产定价的逻辑了
[417.6 - 422.4] 我们知道传统的国债或者是天然气实物期或在数据公布的前后
[422.4 - 423.8] 其实它是连续波动的
[423.8 - 426.8] 而这个新产品它直接挂钩的
[426.8 - 429.1] 其实是一个非常绝对的二元结果
[429.1 - 432.0] 因为意味着在这个事件或者数据公布的那一秒
[432.0 - 436.4] 那这个合约的价格是会发生非限性的跳跃的
[436.4 - 438.6] 如果没有提前做好充分的准备
[438.6 - 442.0] 甚至有可能连止损单都没来得及触发
[442.0 - 445.8] 然后就会引发价格断层带来的爆仓风险
[445.8 - 448.2] 再有在数据公布之前的那五六分钟
[448.2 - 451.2] 有可能突然认为太难预测了
[451.2 - 453.3] 然后就会发生大量的扯单
[453.3 - 456.4] 而这也有可能会导致短暂的流动性枯竭
[456.4 - 459.3] 使得交易员想平仓平不掉
[459.3 - 462.1] 想进场成本非常高的尴尬局面
[462.1 - 463.8] 第二也是非常现实的
[463.8 - 465.0] 不管怎么样
[465.0 - 466.7] 这一席会议的决议
[466.7 - 468.8] 宏观数据在公布之前
[468.8 - 471.2] 他们是被极少人所知道
[471.2 - 473.2] 并且存在相关的电脑
[473.2 - 474.9] 或者写在相应的报告里的
[474.9 - 476.7] 如果我们说的是如果
[476.7 - 478.9] 这批新合约的交易量
[478.9 - 480.3] 规模足够大
[480.3 - 482.0] 那这背后的利益和诱惑
[482.0 - 483.7] 其实是非常惊人的
[483.7 - 485.4] 他们能抵得住吗
[485.4 - 487.4] 当然也许他们是守得住底线的
[487.4 - 489.0] 那黑客们呢
[489.0 - 491.0] 第三其实也是一个bug
[491.0 - 496.3] 像天然气库存这种数据是可以后边修正前面的
[496.3 - 498.5] 如果当天都公布了后期又修正了
[498.5 - 501.7] 那么相关的资金清算交割这事怎么算
[501.7 - 504.0] 当然这其实是偏技术方面的问题
[504.0 - 506.4] 我相信随着这个产品的应用
[506.4 - 508.3] 是会有相应的修正机制的
[508.3 - 512.3] 不过这里边会不会又有新的手脚可以做
[512.3 - 514.1] 好 最后我们再稍微总结一下
[514.1 - 516.5] 从之前跟大家分享的这个抢钱一
[516.5 - 518.4] 到今天上午的抢钱二
[518.4 - 519.8] 再到这条抢钱三
[519.8 - 521.6] 大家应该能非常切实的感受到
[521.6 - 522.9] 抢钱这个词
[522.9 - 525.9] 不管是在资本市场 货币市场 大宗方面
[525.9 - 528.0] 没 已经真的不掩饰了
[528.0 - 530.9] 而现在已经进入到数据领域了
[530.9 - 534.2] 当然一方面它确实是提高了资金的使用效率
[534.2 - 536.9] 并且让流动性越来越充沛
[536.9 - 540.1] 而另外一方面他们也是在把交易风险推向这种
[540.1 - 543.6] 更直接 更简单的一招定生死的模式
[543.6 - 546.7] 以前做宏观交易看的是周期看的是趋势
[546.7 - 549.4] 而以后直接就成定点了
[549.4 - 553.5] 而这种确实在一定程度上颠覆我的认知的新产品的出现
[553.5 - 555.3] 其实也是让我在思考
[555.3 - 559.4] 我们必须要面对这个变化非常非常快的金融世界了
[559.4 - 563.3] 不排除这类的产品以后会越来越多
[563.3 - 565.2] 甚至会越来越常态化
[565.2 - 567.6] 而对于普通的投资者来说也就意味着
[567.6 - 569.9] 这种重要的时间节点
[569.9 - 572.1] 重要的数据公布的当天
[572.1 - 575.6] 传统资产价格的剧烈跳动会越来越频繁
[576.0 - 577.9] 收割也会越来越简单
[577.9 - 580.3] 这其实也就意味着对于普通投资者
[580.3 - 582.5] 在金融市场上的生存技能
[582.7 - 584.4] 要求也就越来越高了
[584.4 - 587.0] 而对于国内的期货以及衍生品交易所
[587.1 - 589.6] 在产品方面也是要加速创新的
[589.6 - 591.8] 那我们作为全球制造业的大国
[591.8 - 593.2] 以及供应链的核心
[593.2 - 595.0] 其实我们也是拥有着不少独特的
[595.0 - 597.2] 并且有全球影响力的数据的
[597.2 - 598.9] 像一些稀有金属的
[598.9 - 600.8] 像一些特定港口运力的
[600.8 - 602.8] 包括碳排放等等
[602.8 - 607.3] 这些其实也是有机会去做成核心宏观指标的
[607.3 - 608.9] 相关期货合约的
[608.9 - 612.3] 这其实也就有助于我们在全球金融衍生品市场
[612.3 - 613.5] 争夺定价权
[613.5 - 616.5] 全球博弈中的金融博弈这一环是不能小事的
[616.5 - 619.2] 而且推进的速度是越来越快了
