[0.0 - 3.6] 基于前面那条视频的思考,我们在做更进一步的理解。
[3.6 - 9.9] 只要中东局势没有结束,国际援用价格没有办法得到实质性的下降。
[9.9 - 14.3] 与此同时,只要美国国内的消费依旧还比较强劲,
[14.3 - 18.2] 就业还是一个相对来说比较良好的状态,
[18.2 - 22.3] AI的投资没有得到明显的降速。
[22.3 - 27.4] 那么作为美联储主席的卧室,在接下来大概率是需要去推进进一步的加息的。
[27.4 - 29.7] 那会不会一定是连续加息的思路
[30.3 - 36.6] 其实受最直接的影响的就是接下来10月份啊中东局势会不会进一步的升级
[36.6 - 41.5] 这一次的加息其实最重要的最核心的目标就是要维护美联储的独立性
[42.0 - 46.4] 以及加强或者是说进一步的维护巩固美元的信用
[46.4 - 50.6] 这比他们要承担更多的付息成本是更重要的
[51.1 - 53.8] 因为一旦市场不信任美联储了
[53.8 - 58.6] 那么他的预期管理的这个工具就会越来越丧失
[58.6 - 61.8] 那现在大家看到的是不管全球的金融机构金融媒体
[61.8 - 63.6] 这么长时间以来
[63.6 - 66.8] 其实还是要去看美联储的相关决议
[66.8 - 68.4] 以及一些重要的发言的
[68.4 - 71.6] 好那既然一段时间中东局势是没有办法结束的
[71.6 - 76.0] 国际援用价格也很难回到一个非常便宜的价格
[76.0 - 78.8] 通胀的年性还是比较显著的
[78.8 - 81.6] 所以我们想一想他们是不是会利用这个阶段
[81.6 - 85.6] 去做一些伤敌一切自损多少多少的事情
[85.6 - 87.4] 那至于自损了多少
[87.4 - 89.7] 我们现在其实比较难评价
[89.7 - 91.7] 现实就是它加息了
[91.7 - 93.2] 那么就会进一步的扩大
[93.2 - 97.4] 它和它战略竞争对手国家之间的利差
[97.4 - 99.8] 首先资金会进一步的流向美国
[99.8 - 105.4] 那扩大的利差就会使得相关国家的资金压力
[105.4 - 106.9] 也就比以前更大了
[106.9 - 110.1] 不管是希望能够进一步降息的压力
[110.1 - 111.9] 还是留住资金的压力
[111.9 - 114.3] 那为了能够让更多的资金留在国内
[114.3 - 118.1] 其实需要的就是提高本国的汇率水平
[118.1 - 120.5] 因为利率水平是比较难提升的
[120.5 - 124.5] 那一方面国内是需要一个相对来说比较宽松的金融环境的
[124.5 - 127.5] 另外就是整体还是要促进消费的
[127.5 - 131.1] 再有也要考虑银行比较现实的进息差
[131.1 - 133.5] 另外一方面就是有化债的需求
[133.5 - 136.9] 需要维持一个相对来说比较低的利率环境
[136.9 - 138.1] 好那汇率的提升
[138.1 - 141.0] 好的一方面是可以降低进口的成本
[141.0 - 145.3] 尤其是一些比较需要的能源方面的进口成本
[145.3 - 149.5] 但另外一方面就会伤害到出口企业的利润了
[149.5 - 151.5] 好除此之外其实我们也很清楚
[151.5 - 154.8] 接下来双方博弈的一个核心其实就是ai了
[154.8 - 157.9] 那ai是需要大量的资金的
[157.9 - 159.1] 是非常烧钱的
[159.1 - 162.5] 那美国的思路其实它一方面是利用它
[162.5 - 165.3] 全球最大的资本市场吸引资金
[165.3 - 168.1] 另外一方面就是他的企业债的市场
[168.1 - 170.1] 所以这其实也是对于他来说
[170.1 - 173.7] 需要让更多的全球资本能够留在
[173.7 - 176.5] 以及流入美国很重要的因素之一
[176.5 - 179.9] 所以综合前面我相信朋友们可以更进一步的理解
[179.9 - 182.5] 我们在两个多月前跟大家分享的
[182.5 - 186.7] 那接下来博弈的一个比较重要的主线
[186.7 - 187.9] 其实就是抢钱了
[187.9 - 191.7] 争资本 争资金 争流动性
[191.7 - 192.9] 好 那另外一方面
[192.9 - 194.9] 其实我们也很清楚到未来的某一点
[194.9 - 196.9] 美联储肯定是要降息的
[196.9 - 199.7] 当中东战争靠一段落的时候
[199.7 - 202.4] 国际原油价格肯定是会快速下降的
[202.4 - 203.2] 那么到那个时候
[203.2 - 206.7] 美国国内的通胀压力一下就会得到很大的缓和
[207.1 - 209.2] 但我们之前也跟大家分享过
[209.2 - 210.1] 对于美来说
[210.1 - 211.8] 那它的目标其实很明确
[211.8 - 213.7] 就是要重塑国际能源格局
[214.3 - 215.2] 那这段时间
[215.2 - 216.2] 我相信一方面
[216.2 - 218.7] 它在推进这种变化
[218.9 - 219.4] 改变
[219.8 - 221.9] 降低中东这些国家
[221.9 - 223.2] 在原油方面
[223.2 - 224.5] 在全球的影响力
[224.5 - 227.1] 那另外一方面 其实也是我一直在思考的
[227.1 - 231.9] 就是它应该也是时刻在关注一些比较重要国家
[232.5 - 237.1] 能源 尤其是原油天然气的库存情况的
[237.1 - 239.1] 那我也在想甚至不排除
[239.3 - 244.1] 它就是要去进一步的去消耗相关国家的能源库存的
[244.1 - 247.5] 好 那后边的原因我们就不做具体展开了
[247.5 - 250.3] 话说回来 那对于美联储来说
[250.8 - 252.5] 就像我们前面视频跟大家分享的
[252.5 - 255.4] 这一次的加息原因其实是综合的
[255.9 - 260.6] 那也是考虑了利弊最后得出的一个相对来说
[261.1 - 262.4] 在他们来看最优解
[262.4 - 264.4] 那这其实也就进一步的反映出
[264.7 - 267.8] 中东的问题在短时间是不会结束
[267.8 - 269.4] 那接下来不管是欧盟
[269.4 - 271.5] 日本韩国澳大利亚
[271.5 - 273.0] 新西兰甚至包括加拿大
[273.4 - 276.0] 很大程度上都需要去进一步的跟进
[276.0 - 277.2] 美联储的加息的好
[277.2 - 278.9] 那最后其实也想跟朋友们说
[279.4 - 281.3] 其实金融核心
[281.3 - 285.3] 一方面是钱,但更重要其实是信息的游戏
[285.3 - 288.7] 那我相信这段时间以来美联储对于市场的预期管理
[288.7 - 290.7] 大家应该也都感受到了
[290.7 - 294.9] 而更值得注意的是,那在加息决策出来之后
[294.9 - 298.2] 其实已经开启了一个新的阶段的预期管理了
[298.2 - 301.7] 那在我来看,这才是我们应该更认真的去思考
[301.7 - 305.7] 在当下以及接下来金融博弈中的关键点的
