[0.0 - 4.5] 再一次的不禁念叨了,而且这一次是非常明确的,实大实的。
[4.5 - 10.5] 昨天伊方是主动去攻击了美的驱逐舰以及航母。
[10.5 - 16.5] 那美方是进行了回击,打了伊方在哈尔科岛附近的三艘大型游轮。
[16.5 - 20.0] 那这就是我们之前在这几个视频里跟大家分享的。
[20.0 - 27.5] 从当前到中期选举之前,最大的不确定因素就是伊方有可能要主动升级战士。
[27.5 - 30.5] 那这一次跟以前有两个很重要的不同点
[30.5 - 31.3] 第一就是
[31.7 - 34.3] 伊方并没有选择主动去攻击
[34.3 - 36.5] 海湾的这些阿拉伯国家的
[36.8 - 37.9] 美的军事基地
[37.9 - 39.5] 第二就是美的反击
[39.5 - 41.2] 没有去打伊的军事设施
[41.4 - 43.7] 而是直接冲着哈尔克的邮轮去了
[43.7 - 44.8] 那从伊的行为
[44.8 - 48.1] 他直接已经冲着美的航母和驱逐舰去了
[48.4 - 50.3] 所以他其实心里肯定非常清楚
[50.3 - 51.3] 那这个行为
[51.4 - 53.3] 美方是肯定会反击的
[53.5 - 55.7] 而且力度肯定是要比以前大的
[55.7 - 57.0] 那这其实就意味着
[57.0 - 60.6] 它就是要升级当下到接下来中期选举之前
[60.6 - 61.8] 这个地方的战事
[61.8 - 63.1] 这个地方的不确定性
[63.1 - 65.7] 那我们之前几个视频里也跟大家分享过
[65.7 - 68.8] 当下相对来说比较诚实和真实的
[68.8 - 70.8] 其实就是国际原油价格了
[70.8 - 72.3] 所以对于一来说
[72.3 - 74.4] 如果要给美政府添堵
[74.4 - 76.7] 或者是说要给中期选举
[76.7 - 78.0] 特政府施压的话
[78.0 - 80.0] 肯定最好的方式就是
[80.0 - 81.6] 抬升国际原油价格
[81.6 - 84.1] 那通胀的上涨对于美国内的百姓来说
[84.1 - 86.2] 感受接下来就会非常直接了
[86.2 - 88.8] 所以这也就会影响选民的投票
[88.8 - 92.4] 除此之外那也就会影响到美联储接下来的货币政策了
[92.4 - 95.6] 当然不是说这就会直接逼迫到他们加息
[95.6 - 99.6] 但不管是美联储还是美政府的相关官员
[99.6 - 103.6] 肯定是要搬出更多的理由去进行对冲的
[103.6 - 105.4] 也就是说难度是在提升的
[105.4 - 109.0] 好 那我们再说美这次的回击其实也是比较意外的
[109.0 - 112.7] 首先我们知道哈尔科岛是对于整个一
[112.7 - 115.6] 最重要的石油出口的基地
[115.6 - 118.2] 90%的体量都是从这出的
[118.2 - 120.7] 那这次美方的行为如果在我理解的话
[120.7 - 124.8] 其实可以反映出对于这个非常重要的哈尔科岛
[124.8 - 127.4] 不管是在中期选举前还是中期选举后
[127.4 - 131.5] 美方对这里的控制是会进一步的提升和加强的
[131.5 - 133.5] 第二从今年的3月份到现在
[133.5 - 138.6] 其实美方对于去打一的重要的能源设施
[138.6 - 141.8] 能源基地其实是非常小心和保守的
[141.8 - 143.7] 一方面是基于特的贪婪
[143.7 - 146.7] 觉得这些东西以后可以为自己所利用
[146.7 - 149.7] 那更重要的就是一旦对于能源设施
[149.7 - 152.7] 尤其是跟石油相关的重要的能源设施
[152.7 - 155.7] 打击的话会直接抬升国际原油的价格
[155.7 - 158.7] 那美方这一次的反击是打了一的油轮
[158.7 - 159.7] 而且是超大油轮
[159.7 - 162.7] 我不知道一方对于美方的这个行为
[162.7 - 163.7] 之前有没有预判
[163.7 - 166.7] 但是我相信应该是超出大部分人的预期的
[166.7 - 168.7] 那美方也指出这几个油轮是
[168.7 - 171.7] 隶属于一个价值数十亿美元的秘密网络
[171.7 - 175.4] 的秘密网络主要就是给卫队提供相关的资金
[175.4 - 178.2] 所以美方这一次的打击其实可以反映出两点
[178.2 - 182.0] 第一就是想释放一个信号要告诉一方你不要以为
[182.0 - 185.9] 我不敢或者是说不会去打击你跟能源相关的设施
[185.9 - 190.0] 那第二就是要进一步的去收紧跟卫队相关的资金来源
[190.0 - 192.6] 钱袋子好那说完以上和我们整体总结一下
[192.9 - 197.6] 首先对于美伊之前有一个MOU现在大家反向去看
[197.6 - 201.0] 应该就非常清晰的可以理解这样一个东西没有
[201.0 - 202.8] 任何的意義是非常脆弱的
[203.2 - 205.8] 那從現在到中期選舉這段時間
[206.2 - 209.2] 他們之間關係的脆弱性會大大提升
[209.2 - 211.2] 而這對於不管是國際原油價格
[211.2 - 213.0] 黃金當然更重要的
[213.2 - 215.8] 每個中期選舉來說都是非常敏感的
[215.8 - 217.8] 那我們知道現在靠阿曼這一側
[217.8 - 219.2] 是有一條暗線的
[219.2 - 222.0] 也就是這些油輪晚上關掉應達器
[222.0 - 225.2] 以及通過船對船的方式進行轉運
[225.8 - 228.0] 當然不是說不會受到攻擊
[228.0 - 230.8] 那接下來其實我們從國際原油價格
[230.8 - 232.2] 一段时间的发展
[232.2 - 233.5] 其实我们就能逐渐看出
[233.5 - 235.0] 到底对这条航线
[235.3 - 236.4] 会有多大的影响
[236.4 - 238.3] 第二从一方最近一段时间的
[238.3 - 239.8] 不管是言论还是行为
[240.0 - 241.8] 其实我理解他们
[241.8 - 243.0] 应该也是有这种想法
[243.0 - 244.9] 就是中期选举之后
[245.2 - 246.7] 美方是很有可能
[246.8 - 248.2] 会加大对伊的打击的
[248.2 - 249.8] 所以在中期选举之前
[249.8 - 252.2] 一方主动性肯定是更大一些的
[252.2 - 254.2] 那他们肯定也是希望能够
[254.2 - 256.4] 让特政府丢掉两院
[256.4 - 257.1] 这样的话
[257.1 - 259.2] 对于中期选举之后
[259.2 - 262.6] 特政府的一些行为会有比较大的撤走
[262.6 - 264.5] 但在这确实是有一个bug的
[264.5 - 269.8] 就是不能把它丢掉两院和中期选举之后
[269.8 - 272.4] 暂时不会升级直接划等号
[272.4 - 274.8] 因为通过之前这一年半的时间
[274.9 - 276.2] 大家应该就都能看到
[276.5 - 279.5] 特不是一个按照正常流程去做事情的人
[279.8 - 282.7] 他经常会违反规则 违反规定
[283.0 - 287.7] 那通过的就是从中找到各种的灰色空间 灰色地带
[287.7 - 290.6] 而且也不排除可以让倚方去进行升级
[290.6 - 294.2] 美方找理由或者是说找方式去进行协助
[294.2 - 296.4] 第三 从国际地缘关系越来越复杂
[296.4 - 298.9] 到美国货币政策目前的不确定性
[298.9 - 300.4] 那对于黄金来说
[300.4 - 302.5] 接下来的这段时间
[302.5 - 306.0] 其实它的主要的决策还是那个调节器
[306.0 - 308.8] 那这也是基于我们去年就跟大家分享过的
[308.8 - 313.7] 美元黄金加密资产三者之间的流动的蓄水式逻辑
[313.7 - 316.6] 既然在中期选举之前不确定因素是非常多的
[316.6 - 320.9] 而且很多事情可能都是以天为变化去进行变化的
[320.9 - 324.2] 所以对于像黄金的这种大宗玩家
[324.2 - 327.0] 那在短期的快速的波动
[327.0 - 329.3] 其实也是他们最好的收购途径
[329.3 - 330.9] 所以对于普通的投资者来说
[330.9 - 333.3] 首先还是尽量不要加杠杆
[333.3 - 336.9] 另外就是在这段时间不要给他加太多的细
[336.9 - 341.7] 除此之外就是尽量还是不要用简单的单边思路
[341.7 - 343.8] 去思考他 或者是说压住他
