[0.1 - 3.4] AI算力和金融市场的融合又要往前推进一步了。
[3.4 - 7.9] 最新智商所联合市场情报机构Silicon Theta一起宣布,
[7.9 - 13.3] 计划在今年的10月5号推出全球首批算力期货合约。
[13.3 - 19.5] 那如果这件事情落地,也就意味着AI算力正式迈入金融衍生品时代。
[19.5 - 24.0] 当生成式AI狂潮爆发之后,GPU的算力其实已经成为企业,
[24.0 - 29.4] 不管是构建还是运行AI模型不可或缺的底层基础设施。
[29.4 - 32.2] 那市场其实是有比较现实的几个痛点的
[32.7 - 35.0] 首先就是价格波动是非常大的
[35.0 - 36.6] 全球GPU偏紧
[36.9 - 40.5] 而且受到整个供应链和一些大厂抢购的影响
[40.5 - 44.5] 所以算力租赁的现货价格波动是非常明显的
[44.8 - 48.1] 另外就是以前AI的研发企业和云厂商之间
[48.1 - 51.0] 很多签的都是私下的长期租约
[51.3 - 55.4] 所以同等算力规模的交易价格差距也是比较明显的
[55.4 - 57.0] 好 那针对这些问题
[57.0 - 59.6] 要推出两款算力期货合约
[59.6 - 63.0] 第一个Silicon Data H100租赁指数期货
[63.0 - 66.4] 那它追踪的是英伟达H100的GPU
[66.4 - 70.1] 那第二个就是Silicon Data B200租赁指数期货
[70.1 - 74.0] 它追踪的是英伟达下一代Blackwell B200的GPU
[74.0 - 76.0] 那每个合约代表单张GPU
[76.0 - 78.3] 维持一个月的租赁成本费用
[78.3 - 80.4] 那交割方式就是现金结算
[80.4 - 83.0] 不需要去物理交割GPU
[83.0 - 85.0] 那选这两个挂钩标的
[85.0 - 88.0] 主要是基于产品的市场占有率
[88.0 - 89.4] 应用场景的代表性
[89.4 - 93.2] 以及定价远期性综合得出的商业选择
[93.2 - 96.7] 我们知道英伟达在AI训练和推理芯片市场
[96.7 - 99.6] 占了大概80%到90%的垄断地位
[99.6 - 101.3] 而衍生品要设计
[101.3 - 103.8] 它首要就是要考虑流动性
[103.8 - 106.0] 所以它必须要挂钩流动性高
[106.0 - 108.2] 而且底层交易频繁的资产
[108.2 - 110.3] 而这两个芯片分别代表着
[110.3 - 112.5] AI产业链两个重要的阶段
[112.5 - 117.3] H100主流训练 B200下一代推理与超大规模训练
[117.3 - 121.1] 那挂钩这两个产品可以让金融市场构建一条
[121.1 - 125.8] 从上一代的主力到下一代旗舰的算力技术迭代
[125.8 - 127.7] 折价或溢价的曲线
[127.7 - 131.6] 好 那我们来说说要做这个算力期货的主要目的
[131.6 - 134.7] 首先也是最直接的就是价格发现
[134.7 - 137.9] 为整个行业去建立一个透明的公允的
[137.9 - 141.2] 并且可交易的算力远期价格曲线
[141.2 - 145.8] 那他希望推进的就是让算力市场获得统一的定价基准
[145.8 - 148.9] 那这其实就是我们之前在直播中也跟大家分享的
[148.9 - 150.5] 抢市场定标准
[150.5 - 152.9] 好 那第二部分就是对冲风险了
[152.9 - 156.3] 首先对于算力需求方买入期货
[156.3 - 158.9] 锁定未来的算力租赁成本
[158.9 - 162.9] 从而防止大模型训练中途算力暴涨
[162.9 - 165.1] 另外就是对于算力的供给方
[165.1 - 166.3] 卖出期货
[166.3 - 168.9] 锁定未来的算力租赁收益
[168.9 - 172.6] 防止未来芯片大量到货导致的租金暴跌
[172.6 - 175.3] 好 这件事情如果接下来真的落地了
[175.3 - 179.1] 其实标志着算力要实现完全的商品化了
[179.1 - 183.5] 那就像石油从最初的场地零散交易演变到现在的
[183.5 - 185.0] 原油期货体系
[185.0 - 187.6] 算力也是希望能够接下来
[187.6 - 191.4] 成为像能源看齐的基础大宗商品
[191.4 - 196.0] 第二 如果能够更好地去锁定未来的现金流的话
[196.0 - 197.7] 那么数据中心的建设者
[197.7 - 201.5] 就更容易从银行以及资本市场获得融资
[201.8 - 204.9] 以及再往后的上链RWA
[204.9 - 208.8] 好 这件事情确实是AI算力和金融市场
[208.8 - 210.7] 快速融合的一个产物
[211.0 - 212.6] 但有没有一些挑战呢
[212.6 - 213.9] 第一也是比较现实的
[213.9 - 216.9] 就是SiliconData它去收集的相关
[216.9 - 218.7] 算力租赁的这些数据
[218.7 - 220.2] 是不是足够的丰富
[220.2 - 223.1] 当然还有就是是不是足够的透明以及公允
[223.3 - 226.9] 这直接关系到算力期货合约的公信力
[226.9 - 228.5] 第二也是比较现实的
[228.5 - 230.1] 如果这些科技巨头们
[230.1 - 231.9] 比如说像微软的亚马逊
[232.2 - 236.7] 还是倾向场外去签相应的长期租赁合约的话
[236.7 - 238.3] 那么就会很直接的导致
[238.3 - 241.8] 金融资本和中小型的云厂商参与度不够
[241.8 - 245.2] 那么这个期货就会面临初期流动性不足的问题
[245.2 - 245.8] 第三
[246.0 - 248.8] GPU的更新换代其实是非常快的
[248.8 - 252.5] 从H100到B200再到接下来的rubin架构
[252.5 - 256.6] 那么老芯片的算力指数就有可能会快速的贬值
[256.6 - 260.1] 那么这就会导致单个合约的生命周期就比较短了
[260.1 - 264.0] 好那说完以上不知道大家还记不记得前两天我们跟大家分享的
