[0.0 - 3.8] 从1948年到1982年,我们经历了五次中东战争。
[3.8 - 6.1] 如果之后有人写现在的历史的话,
[6.1 - 9.8] 在我来看现在应该已经可以算是第六次中东战争了。
[9.8 - 11.2] 除了梅以一之外,
[11.2 - 14.9] 那最新沙特跟胡塞之间也算是正式打起来了。
[14.9 - 18.9] 那我们知道巴基斯坦跟沙特之间是有战略共同防御协议的,
[18.9 - 22.2] 而最新巴基斯坦也是跟一喊了话。
[22.2 - 26.2] 明确说胡塞停止袭击沙特以及其他的相关海湾国家,
[26.2 - 31.9] 當然還包括過往的郵輪是重啟美伊談判的重要前提
[31.9 - 34.2] 那這從某種程度其實意味著
[34.2 - 37.5] 之前巴基斯坦跟沙特簽的戰略共同防禦協議
[37.5 - 39.1] 其實是在生效的
[39.1 - 40.9] 雖然是衝胡塞說的
[40.9 - 43.8] 但同時意思也表達給伊朗了
[43.8 - 47.4] 所以其實現在巴基斯坦在中間位置比較尷尬
[47.4 - 49.3] 之前是斡旋人
[49.3 - 52.1] 但現在又不得不要選邊站
[52.1 - 53.4] 好,那與此同時
[53.4 - 55.8] 其實最近還有一個非常重要的轉變
[55.8 - 61.0] 就是其实巴林和科威特已经开始对前段时间
[61.0 - 65.0] 伊朗对他们的打击进行非常直接的报复行动了
[65.0 - 66.6] 他们是秘密派遣的战机
[66.6 - 71.5] 而且是由阿联酋提供的相关情报以及空中掩护的
[71.5 - 73.2] 好 那这个信息出来之后
[73.2 - 77.1] 过了大半天的时间 科威特方站出来否认
[77.1 - 81.8] 而不是科威特本土的相关官方机构站出来否认
[81.8 - 84.4] 是驻美的使馆站出来否认的
[84.4 - 88.7] 那这个否认方在我个人来看多少有一些蹊跷
[88.7 - 91.8] 与此同时巴林方是暂时没有否认的
[91.8 - 95.5] 那在我理解如果巴林和科威特确实是排战机打了一
[95.5 - 98.1] 而在这个时候有相关方站出来否认的话
[98.1 - 102.2] 只能说明他们还暂时不希望这件事情过多的引到自己身上
[102.2 - 104.4] 并且因此而扩大化
[104.4 - 106.8] 那如果他们两方确实没有打一
[106.8 - 110.9] 那只能说明美就是希望把这个地方弄得再乱一些
[110.9 - 114.0] 把大家之间的矛盾挑得再直接一些
[114.0 - 117.4] 希望这个地方的战事是升级而不是降温
[117.4 - 119.2] 第三就在前两天提说
[119.5 - 123.6] 近期伊拉克是在美伊之间进行相关的斡旋活动的
[123.9 - 125.2] 希望能够促进和谈
[125.2 - 129.1] 而伊拉克的官方也是站出来进行非常直接的否认了
[129.6 - 131.3] 那前面的视频我们跟大家分享过
[131.3 - 134.7] 美在最近一段时间其实对于中东的这些国家
[134.9 - 135.8] 是各个击破的
[136.1 - 138.7] 从叙利亚到土耳其到伊拉克
[139.2 - 142.5] 那伊拉克呢是跟美签了一个2000多美元的大单子
[142.5 - 144.5] 主要就是石油方面的合作
[144.5 - 147.9] 未来美国会帮助伊拉克去进行
[147.9 - 150.5] 他的石油生产建设运营
[150.5 - 154.3] 那随之推进的就是伊拉克会重新回到石油美元体系
[154.5 - 157.5] 所以伊拉克在这个时候进行否认自己在斡旋
[157.5 - 159.3] 其实态度也是很明确
[159.3 - 163.3] 就是不想去摻和一些自己能力范围之外的事情
[163.3 - 165.5] 第四 前面的视频我们跟大家分享了
[165.5 - 169.1] 美沙签署30年的和合作协议
[169.5 - 171.7] 那当时我也是在第一时间就说
[171.7 - 173.5] 如果这个和协议能够签署
[173.5 - 175.7] 一定是有一个非常重要的前提的
[175.7 - 179.6] 就是沙特要加入到特政府主推的
[179.6 - 181.8] 跟以色列的亚伯拉罕协议
[181.8 - 184.5] 也就是说要让整个中东
[184.5 - 187.0] 最重要的阿拉伯国家的
[187.0 - 190.0] 暂时还没有加入这个协议的沙特
[190.0 - 190.9] 要加进来
[190.9 - 192.8] 从而引导其他的一些
[192.8 - 194.7] 可能还没有加入的国家
[194.7 - 195.5] 陆续加入
[195.5 - 197.8] 那古布奇染特也是很快就站出来说了
[197.8 - 201.2] 如果接下来跟沙的和协议能够推进的话
[201.2 - 204.7] 重要的前提就是沙特要加入亚伯拉罕协议
[204.7 - 206.0] 那这件事情的重要意义
[206.0 - 208.2] 我们在前两天的直播中也跟大家分享过了
[208.2 - 212.1] 除了要推进这些阿拉伯国家跟以色列的关系正常化
[212.1 - 214.8] 这也是未来能够长期保证
[214.8 - 217.5] 以色列的安全很重要的一个前提
[217.5 - 222.1] 而更重要的就是为接下来继续推进imec
[222.1 - 225.5] 也就是新中东经济走廊扫清障碍
[225.5 - 228.8] 只有这些国家跟以色列的关系逐渐正常化了
[228.8 - 236.8] 未来从印度穿到中东再穿到欧洲的这条新中东经济走廊
[236.8 - 238.0] 才有可能打通
[238.0 - 241.8] 才有可能长期健康安全的去推进
[241.8 - 246.0] 那这件事情最核心的目的其实就是要逐步去替代带路了
[246.0 - 247.6] 那到目前为止
[247.6 - 249.6] 美方释放这个信息之后
[249.6 - 254.4] 暂时没有看到沙特对于不管是和协议的合作
[254.4 - 256.4] 还是加入亚布拉罕协议
[256.4 - 258.9] 有过多的反对声音
[259.2 - 262.1] 不排除双方现在还在进行进一步的沟通
[262.1 - 264.7] 但是没有看到第一时间跳出来反对
[264.7 - 267.6] 起码可以说明他们确实是在就这件事情
[267.6 - 269.6] 以及亚伯拉罕协议的签署
[269.6 - 270.9] 在深入沟通中
[270.9 - 272.6] 而以色列这个时候也跳出来了
[272.6 - 275.2] 就是沙特如果你签了亚伯拉罕协议的话
[275.2 - 277.5] 那么接下来对于中东的发展
[277.5 - 278.6] 是至的飞跃
[278.6 - 281.5] 当然这对于他来说是一个超级大利好
