[0.0 - 3.4] 我知道很多朋友都关注这周美国要公布的CPA的数据,
[3.4 - 8.4] 以及新的美联储主席凯文沃什要参加的他的第一次国会听证会。
[8.4 - 11.2] 那我想说个可能跟很多人不太一样的观点。
[11.6 - 15.0] 接下来数据本身会越来越没有意义,
[15.0 - 17.8] 不管是特的那张嘴还是凯文沃什的那张嘴,
[17.8 - 21.4] 他们要实现的一致的方向就是不确定性。
[21.4 - 23.8] 特说的话里,十次有八次可能都是假的,
[23.8 - 25.8] 但就是会有两次是真的,
[25.8 - 30.3] 而且这两次很有可能都是大部分人认为他不会这么去做
[30.3 - 34.4] 那凯文沃什呢 不管是要干掉前瞻指引 还是要弱化点阵图
[34.4 - 38.9] 目标也是要更进一步的让市场去接受不确定性
[38.9 - 42.0] 不要什么都等着美联储来告诉大家
[42.0 - 46.5] 而我们稍微回顾一下 他们两个这种不确定性的越来越一致
[46.5 - 49.5] 基本上都是从2月份发展到现在的
[49.5 - 51.7] 特的做法是强迫市场理解
[51.7 - 54.6] 沃什的做法是不断引导市场去理解
[54.6 - 56.6] 一个是有着最高的权力的
[56.6 - 58.0] 另外一个虽然也有权力
[58.0 - 62.0] 但毕竟刚刚上任是需要让市场不断的去接受他的
[62.0 - 63.1] 而从2月份到现在
[63.1 - 65.5] 华尔街从不满意不接受不爽
[65.5 - 67.5] 到现在逐渐开始要接受了
[67.5 - 69.5] 好 那他们为什么会逐渐接受呢
[69.5 - 71.3] 首先也是最重要的就是
[71.3 - 73.4] 只要有波动就能赚钱
[73.4 - 76.1] 第二 通过量化 通过新的模型的设计
[76.1 - 78.5] 因为思路已经跟以前不一样了嘛
[78.5 - 81.7] 这些华尔街的大佬们 大机构们 大资金们
[81.7 - 83.2] 可以跟他们的对手盘
[83.2 - 85.6] 也就是那些暂时还没有调整思路的
[85.6 - 87.4] 离信息非常远的
[87.4 - 90.4] 以散户为主体的对手盘
[90.4 - 92.2] 进行新的收割
[92.2 - 94.6] 虽然他们两个的共性都是模糊
[94.6 - 95.8] 都是不确定性
[95.8 - 98.0] 但我相信通过AA加持的
[98.0 - 99.5] 更先进的量化工具
[99.5 - 101.0] 还是可以找到新的规律的
[101.0 - 103.4] 另外就是像这种大型的对冲基金
[103.4 - 104.7] 那工具也就更多了
[104.7 - 105.8] 而他们的对手盘
[105.8 - 107.5] 以散户为主的对手盘
[107.5 - 109.8] 那相对来说也就更弱势了
[109.8 - 112.3] 以前大家理解的得大起大落
[112.3 - 115.0] 以后可能在一些非常突发的
[115.0 - 117.6] 或者是说所谓的一些意外事件上
[117.6 - 118.7] 会有一个变化
[118.7 - 120.6] 但很快就会被修复的
[120.6 - 124.0] 因为量化工具基于新的思路重新被设定之后
[124.0 - 126.5] 非常小的波动都是可以赚钱的
[126.5 - 127.6] 那至于数据
[127.6 - 130.1] 会释放一个让你以为往这边走的
[130.1 - 133.4] 但很快又会有一个往这边走的去进行对冲
[133.4 - 135.4] 在这个过程中就会引导市场
[135.4 - 138.2] 逐渐的不得不去接受新的
[138.2 - 139.7] 这种模式下的不确定性
[139.7 - 140.9] 而最终的核心目标
[140.9 - 144.3] 就是我们从去年到现在一直跟大家去解读的
[144.3 - 146.6] 弱美元但强势美元的逻辑
[146.6 - 148.9] 至于挑战嘛那肯定是相当大的了
[148.9 - 150.8] 否则卧室也不需要在这个时候
[150.8 - 155.8] 请来这15位在各自领域非常有分量的前辈以及大咖
[155.8 - 158.3] 那也建议大家可以再去看看7月10号这个视频
[158.3 - 161.5] 对这15个人一些比较重要内容的介绍
[161.5 - 164.4] 总之我们要面对的就是越来越多的不确定性
[164.4 - 166.9] 与此同时不要忘记你的对手盘
[166.9 - 170.8] 是已经逐渐在建立新模型的那些机器人
[170.8 - 173.1] 你休息的时候这些机器人是不休息的
[173.1 - 176.0] 他是在无时不刻的追踪新的变化
[176.0 - 177.2] 在自我进化的
