[0.0 - 5.9] 接着前面那条视频,想跟比较关注金的朋友做一个温馨的小提示。
[5.9 - 13.2] 我不太建议大家对于接下来这两个月对金的走势有单边的过大的赌注。
[13.2 - 21.7] 那我说说我的理解,今天早上美英又重新开打,其实反映出美当前以及接下来比较现实的一个短板。
[21.7 - 28.3] 我们看一下,美说他打E的发射基地,原因是在他们来看有迫在眉睫的威胁。
[28.3 - 32.9] 那这个很紧要的威胁就是美军发现一要往水里去布水雷
[33.6 - 36.4] 到目前为止一呢还暂时没有否认这一点
[36.6 - 43.2] 所以我们看到即使美方要面对国际原油价格上涨啊现在已经要突破90美元这个压力
[43.8 - 47.8] 还依然出手 那这其实就反映出美方当前的一个非常核心的思路
[48.4 - 53.0] 也就是一不让霍尔摩斯海峡开放 那美也继续进行反封锁
[53.0 - 57.1] 所以在白天霍爾木斯海峽是比較難自由航行的
[57.1 - 59.4] 但是通過之前的相關報導
[59.4 - 61.7] 以及這些海灣國家的數據
[61.7 - 64.5] 確實有不少油輪在晚上
[64.5 - 66.5] 一方面是關掉應達器
[66.5 - 68.8] 另外一方面是船對船的轉運
[68.8 - 70.0] 所以對於美來說
[70.0 - 72.2] 它現在以及接下來必須要保證
[72.2 - 76.0] 晚上的這種暗船通過是可以持續進行的
[76.0 - 80.3] 也就基於此是不能允許有新的水雷出現的
[80.3 - 81.8] 那只有這件事情做到了
[81.8 - 84.4] 才有可能对于国际原油价格来说
[84.6 - 86.7] 让它不至于接下来出现飙升
[86.7 - 88.8] 那之前视频也跟大家说过
[88.8 - 91.5] 在我理解现在比较诚实也比较真实的
[91.7 - 93.3] 其实就是国际原油价格了
[93.3 - 94.7] 好那它今天的上涨
[94.7 - 95.7] 其实反映了几个问题
[95.7 - 98.7] 第一就是会担心双方又再次出手
[98.8 - 101.6] 会不会使得中东当前的局势进一步的升级
[101.6 - 103.4] 那第二在我来看其实是更重要的
[103.4 - 106.8] 就是会担心接下来是不是会影响到
[107.0 - 110.1] 晚间这些暗船出霍尔摩斯海峡
[110.1 - 115.0] 所以我们看到美出手之后马上说这是非常有限且精准的行动
[115.4 - 119.6] 这就表明了他在当下是非常不希望这件事情去升级的
[119.6 - 123.2] 因为这毕竟直接就牵动着国际原油价格接下来的走势
[123.2 - 127.8] 好那说回视频最开始说的美方接下来的一个很现实的短板就是
[128.6 - 133.0] 对于伊来说现在即使霍尔木斯海峡没有办法开放
[133.0 - 134.4] 它的油出不去
[134.4 - 137.8] 当然也包括它现在国内不管是货币进一步的贬值
[137.8 - 140.1] 还是经济压力进一步的提升
[140.1 - 142.9] 但越接近一些非常重要的时间节点
[142.9 - 145.2] 比如说今天明天要召开的
[145.2 - 147.2] G20的全球财长峰会
[147.2 - 149.8] 以及接下来九月份十月份
[149.8 - 151.3] 美联储的议期会议
[151.3 - 154.5] 以及更加接近中期选举
[154.5 - 155.9] 之前的那一两周
[155.9 - 157.6] 那一方确实是有可能
[157.6 - 159.0] 去升级相关的战事的
[159.0 - 161.9] 像今天这种他想布水雷
[161.9 - 163.7] 结果美国出手了
[163.7 - 166.5] 不排除他接下来还会再去推进的
[166.5 - 168.1] 那如果这个方法不好使了
[168.1 - 170.7] 不排除他接下来会攻击商船
[170.9 - 174.3] 甚至不排除他去攻击海曼这些国家的
[174.3 - 176.2] 能源电力等基础设施
[176.2 - 178.4] 那现在对于美来说最需要的
[178.4 - 181.1] 就是在这些非常重要的时间节点
[181.1 - 182.9] 以及中期选举之前
[182.9 - 185.1] 尽可能的保持现状
[185.1 - 186.7] 但对于E的一些举动
[186.7 - 188.7] 美方肯定是不得不去应对的
[188.7 - 189.9] 所以说回金的话
[189.9 - 191.5] 接下来这两个月的时间
[191.5 - 194.1] 还是有几个很重要的时间节点的
[194.1 - 196.7] 而这两个月中东局势的各种不确定性
[196.9 - 198.0] 对于金来说
[198.0 - 201.6] 它更多的角色其实还是那个重要的调解器
[201.6 - 205.1] 所以在我理解对于接下来比较特殊的这两个月
[205.1 - 206.9] 对于金的思考
[207.4 - 209.0] 最好不要是单边的走势
[209.0 - 211.3] 因为对于这些非常重要的指标
[211.5 - 215.6] 变化的主动性其实更多是由国际原油价格所引发的
[215.6 - 217.9] 当然对于大的资金大的资本来说
[217.9 - 220.7] 这种波动肯定是最好的收割方式
[221.0 - 223.6] 但是对于散户来说肯定就是不友好的了
