[0.0 - 7.0] 昨天新上任的美联储主席凯文沃什在葡萄牙举办的欧洲央行中央银行论坛上发表了讲话。
[7.0 - 12.5] 整体来看,跟他在上任之后第一次一席会议之后的相关发言是基本吻合的。
[12.5 - 20.5] 首先对于通胀他明确了,如果市场认为美联储可以放任这2%的这条线的话,那么他们可能要失望了。
[20.5 - 26.0] 也就是说他接下来工作很重要的一块就是要把通胀拉回到2%附近。
[26.0 - 31.4] 第二 明确了未来的利率政策不会再释放任何的前瞻性指引
[31.4 - 35.3] 而且他看似开玩笑但其实很耐人寻味地说到
[35.3 - 38.4] 他不希望在开会之前把所有的牌都亮出来
[38.4 - 41.0] 而是希望在接下来的7月的一期会议上
[41.0 - 44.8] 让这些官员啊好好辩论就像家庭内部的辩论那样
[44.8 - 47.8] 在点阵图方面他说可以保留一段时间
[47.8 - 52.7] 但他们已经成立了专门的小组会重新审视这一机制
[52.7 - 52.8] 所以这其实就能看出他就是要大刀�
[52.8 - 57.4] 所以这其实就能看出他就是要大刀阔斧的去改革美联储的沟通机制了
[57.4 - 63.0] 第三在之前的会议中其实他就把当下美的通胀跟中东事件紧密相关
[63.0 - 65.8] 而这一次又再次重申这件事情
[65.8 - 68.6] 在他来看现在国际油价已经大幅下跌了
[68.6 - 72.2] 确实已经回到了中东事件发生之前了
[72.2 - 75.4] 所以通胀的预期也大幅回落
[75.4 - 80.2] 所以这似乎是想为未来某个时间节点推进降息再做铺垫
[80.2 - 84.6] 再有他再次重申了對於人工智能長遠發展的樂觀態度
[84.6 - 86.7] 所以利用AI的發展提升生產率
[86.7 - 88.2] 從而降低通脹
[88.2 - 91.4] 這個思路我相信接下來他是會以一貫置的
[91.4 - 94.3] 第五他希望在未來一年之內讓美聯儲實現
[94.3 - 96.7] 基於實時數據的政策制定
[96.7 - 98.9] 而在這個過程中要用新的機構
[98.9 - 100.6] 並且要應用新的技術
[100.6 - 102.0] 第六在縮表方面
[102.0 - 106.5] 他堅持認為要縮減美聯儲現在非常龐大的資產負債表
[106.5 - 107.8] 6.7萬億美元
[107.8 - 110.7] 但他也表示在做出相应的决策之前
[110.7 - 112.6] 要跟市场做充分的沟通
[112.6 - 114.4] 也就是说事是必须要做的
[114.4 - 115.8] 但是需要时间的
[115.8 - 118.3] 并且要有新的方式和方法
[118.3 - 120.2] 那在我理解不排除接下来
[120.2 - 123.5] 贝森特和卧石会一起去推进这件事情
[123.5 - 126.8] 他说在过去18年里堆积出来的这个巨大的表
[126.8 - 129.3] 不可能在18分钟内就完全消除
[129.3 - 131.2] 所以在我理解他其实就是想表达
[131.2 - 132.4] 这事儿我肯定要干
[132.4 - 133.4] 你们不要怀疑
[133.4 - 135.4] 但我不会就这么掀桌子
[135.4 - 137.8] 你们得逐步的了解我的意图
[137.8 - 140.2] 而且他也说了过度庞大的资产负债表
[140.2 - 144.0] 让美联储在金融系统里的痕迹过于显著
[144.0 - 145.8] 这不是央行应该待的地方
[145.8 - 150.3] 所以他的意思是说美联储应该逐渐淡出这种微观市场
[150.3 - 153.0] 所以就像我们之前那个视频跟大家分享过的
[153.0 - 155.9] 他接下来要组建的这五个特别工作组
[155.9 - 158.8] 很重要的一块工作其实就是推进缩表
[158.8 - 161.4] 所以在我来看卧室这种非常坚决的态度
[161.4 - 162.8] 似乎是想跟市场说
[162.8 - 165.5] 他们接下来不仅是要缩减整体规模
[165.5 - 171.1] 而且还有可能考虑着要清空现在美联储所持有的MBS
[171.1 - 175.2] 让美联储逐渐退出对于房地产市场信贷市场的隐性肝保
[175.2 - 178.7] 未来主要资产负债表里就留美国国债
[178.7 - 181.0] 除此之外还有一件事情是非常值得注意的
[181.0 - 184.6] 就是卧室邀请了英国前央行行长莫文金
[184.6 - 187.0] 去出任他五个工作组里
[187.0 - 188.8] 这第一个沟通工作组
[188.8 - 192.2] 那这个人是在03年到13年担任的英国央行行长
[192.2 - 196.0] 并且带领了英国度过了08-09的金融危机
[196.0 - 198.8] 好这两个人其实已经相识超过20年了
[198.8 - 201.6] 在08年的全球金融海啸的时候
[201.6 - 205.2] 这两个人作为两个国家央行的重要负责人之一
[205.2 - 208.8] 那是非常高频率的参与了跨国的政策协调的
[208.8 - 211.6] 另外就是在卧室当初离开美联储
[211.6 - 214.4] 前往斯坦福的湖夫研究所做学术研究的时候
[214.4 - 217.6] 和莫文金在反思量化宽松啊
[217.6 - 221.7] 研究央行的货币政策方面是有经常性的学术探讨的
[221.7 - 225.4] 而且这两个人在央行不应该去过度的干预市场
[225.8 - 228.1] 这个逻辑上是高度同频的
[228.3 - 231.9] 那这一次卧室的这个举动确实也是非常大破惯例了
[232.2 - 235.9] 用一个非美国的人来给美联储去做手术
[235.9 - 237.9] 那除了前面这些渊源之外
[237.9 - 239.6] 这个莫文坚也有一个特点
[239.6 - 241.0] 就是说话模糊
[241.0 - 245.0] 另外他非常习惯用白话向公众解释相关的政策
[245.3 - 246.9] 所以卧室这一次请他来呢
[246.9 - 250.6] 一方面让他能够跟他一起拿捏这个模糊的度
[250.6 - 253.6] 另外就是帮他一起改变美联储当前这种非常冗长
[253.6 - 256.2] 并且充满官僚气息的相关发言
[256.2 - 259.9] 而前面我们也说了卧室接下来最想干掉的一个前针指引
[259.9 - 260.9] 一个点阵图
[260.9 - 265.3] 所以二者在这种对待市场的态度方面也是相当一致的
[265.3 - 268.3] 再由我们想想卧室刚上任不久就想做各种改革
[268.3 - 270.7] 那遇到的阻力也是可向而至的
[270.7 - 275.1] 那请出这么一个非常有声望有分量的嘉宾来主持工作
[275.1 - 279.2] 其实也是希望能够帮他去降低自己所面对的压力
[279.2 - 280.5] 畢竟它可以跟外面说
[280.5 - 282.4] 我这次请来了一个非常专业
[282.4 - 283.8] 同时也有国际视野
[284.0 - 286.4] 而且也经历过重要金融危机的人
[286.4 - 287.6] 最后我们整体总结一下
[287.6 - 289.8] 那卧室昨天的这个亮相
[289.9 - 291.9] 应该是它首次的国际亮相了
[292.0 - 292.5] 在我来看
[292.5 - 293.8] 就是想借着这次机会
[293.8 - 295.8] 对外表明美联储的新时代
[295.8 - 297.3] 也就是卧室时代
[297.6 - 299.4] 明确的 严格的态度
[299.4 - 300.7] 而接下来我们看到的
[300.8 - 302.7] 就是美联储要重新披上
[302.8 - 305.4] 越来越不容易预测的这个外溢了
[305.5 - 307.2] 市场要根据数据
[307.3 - 309.1] 学会自己承担风险
[309.2 - 313.2] 不要寄希望于未来美联储总是会出来救市
[313.2 - 316.2] 2%的通胀目标这条线再次被明确
[316.2 - 321.2] 所以接下来不排除它会用各种方式去实现这一目的的
[321.2 - 325.2] 甚至包括我们之前跟大家所提及的结尾均值
[325.2 - 327.2] 而缩表呢再次被明确
[327.2 - 329.2] 也就是说如果未来要降息
[329.2 - 333.2] 那么之前首先要先收回美元的流动性
[333.2 - 336.2] 也就是说只有在他们来看美元信用重新被修复了
[336.2 - 338.2] 后边的事儿才能干
[338.2 - 341.4] 才能实现弱美元但强势美元的这一逻辑
[341.6 - 345.9] 那对于投资者来说接下来就要面对越来越多的不确定性了
[346.0 - 349.7] 那之前的这三个视频关于他们的抢钱大战
[350.1 - 352.1] 可能也会对朋友们有一些启发
[352.4 - 356.5] 当然接下来卧室推进工作的过程中挑战是会相当大的
[356.9 - 360.1] 因为它要改变的不是一点半点我们拭目以待
