[0.0 - 5.0] 国际原油价格回到了一个多月前的位置,已经接近100美元每桶了。
[5.0 - 10.0] 那这是什么时候呢?就是上个月那个MOU,那个所谓的MOU,
[10.0 - 18.0] 那个让很多人以为美伊双方有可能达成一致,但其实是各说各话,并且没有任何法律约束力的MOU。
[18.0 - 23.0] 就像昨天的视频跟大家分享的,现在只有国际原油价格还相对来说比较诚实。
[23.0 - 29.0] 当然,他也很小心不敢太贸然行事,而是一点一点在往前推进。
[29.0 - 31.9] 好,我们来看几个昨天比较重要的信息
[31.9 - 36.0] 首先,医说,如果你不让我卖出去游
[36.0 - 38.2] 这个地方不能有任何一滴油出去
[38.2 - 43.4] 第二,特说,如果接下来医再敢袭击过霍尔木斯海峡的商船
[43.4 - 45.7] 那么你每袭击一艘商船
[45.7 - 49.1] 我就有可能要打你的一个桥或者一个发电厂
[49.1 - 50.8] 而医也说了,如果你打我的
[50.8 - 52.9] 那我也打你的相关盟友的
[52.9 - 55.9] 除此之外,胡塞昨天打了沙特的两艘商船
[55.9 - 59.7] 那在我来看不排除接下来沙特跟胡赛之间
[59.7 - 61.8] 也有可能面临进一步的升级的
[61.8 - 62.8] 好 那我们试想一下
[62.8 - 65.8] 如果沙特回击 胡赛再回击
[65.8 - 67.3] 那么对于巴基斯坦来说
[67.3 - 69.2] 是不是得被动出手呢
[69.2 - 71.0] 那如果巴基斯坦出手
[71.0 - 73.7] 那接下来又怎么面对伊朗呢
[73.7 - 77.8] 另外英国同意美继续用它的相关的军事基地
[77.8 - 80.2] 另外就在前两天伊朗跟保加利亚喊话
[80.2 - 81.5] 核心内容其实就是
[81.5 - 85.0] 最好还是不要让美去用保加利亚的军事基地
[85.0 - 88.4] 而最新 保加利亚明确了 允许美军使用
[88.4 - 89.9] 好 那到这儿大家有没有发现
[89.9 - 92.2] 当下和一两个月前很不一样的一点
[92.2 - 95.1] 就是那个时候 不管是在打的时候
[95.1 - 97.7] 还是大家之间关系特别紧张的时候
[97.7 - 100.0] 中东的相关阿拉伯国家
[100.0 - 101.5] 欧洲的相关国家
[101.5 - 103.5] 以及亚洲的相关国家和地区
[103.5 - 106.4] 时不时的就会做相应的表态
[106.4 - 108.8] 呼吁这个地方局势啊 赶快降级
[108.8 - 111.2] 并且尽量的劝和
[111.2 - 113.3] 尽量的让大家不要再打了
[113.3 - 114.7] 但现在呢 大家看一看
[114.7 - 119.0] 是不是整體來看非當事人相對來說都是比較安靜的呢
[119.5 - 121.1] 可能偶爾會有一兩個聲音
[121.3 - 123.5] 但並不是大部分人所為
[123.7 - 125.5] 好那這其中比較重要的變量
[125.7 - 128.4] 其實都是在上一次的MOU到現在
[128.6 - 132.8] 這段時間中間跟特政府見面的這幾個國家的領導人
[133.0 - 134.1] 最前面敘利亞
[134.4 - 135.8] 然後土耳其的埃爾多恩
[136.5 - 138.0] 特是專門飛到
[138.4 - 139.8] 土耳其去見的他
[140.1 - 141.6] 當然說的是北約峰會
[141.7 - 143.5] 但其實核心就是要見他
[143.5 - 147.1] 那我相信美承诺给他的绝不仅是F35
[147.1 - 149.8] 当然作为交换土耳其也要放弃S400
[149.8 - 154.9] 另外之前IMEC这个中东新经济走廊
[154.9 - 156.8] 其实里面是没有土耳其的
[156.8 - 160.3] 不排除未来有可能也把它纳入其中
[160.3 - 165.5] 所以最近是不是土耳其对于中东这件事情相关的态度或者发言
[165.5 - 166.7] 好像看不太见了呢
[166.7 - 169.9] 然后是伊拉克去了白宫跟特界面
[169.9 - 173.0] 签了个2000多亿美元的超级大单
[173.0 - 177.7] 美國接下來會幫助伊拉克恢復他的石油建設生產運營
[178.0 - 180.4] 並且還幫助他建新的管道
[180.7 - 181.9] 在原有的管道之上
[182.4 - 184.9] 通過直接輸送到敘利亞
[185.1 - 186.4] 然後進行出海
[186.7 - 188.3] 不依賴於霍爾摩斯海峽
[188.3 - 191.3] 除此之外就是這兩天確定的美沙之間
[191.5 - 194.1] 接下來30年的核合作協議
[194.1 - 195.7] 從民用核項目開始
[196.0 - 199.3] 美負責幫他建設幫他運營進行管理
[199.7 - 201.8] 以此來保證核不擴散
[201.8 - 205.6] 保證核的相關技術掌握在美的手中
[205.6 - 209.8] 與此也算是對於沙更進一步的保護承諾
[209.8 - 212.6] 當然雙方如果認為接下來有必要的話
[212.6 - 216.2] 美也會幫它去進行濃縮油設施的建設
[216.2 - 219.7] 說實話這對於美在整個中東來說
[219.7 - 222.1] 是重大的核思路的轉變
[222.1 - 223.4] 那如果在我理解的話
[223.4 - 224.7] 這件事情如果能推進
[224.7 - 225.9] 是有一個很重要的前提的
[225.9 - 228.1] 就是沙特同意接下來加入
[228.1 - 231.4] 美所主導的跟以色列簽署的亞伯達罕協議
[231.4 - 233.8] 推進跟以色列的關係正常化
[233.8 - 235.8] 所以我們看到的是中東阿拉伯這幾個國家
[235.8 - 239.1] 對於券和這方面的相關表態跟之前比
[239.1 - 240.6] 明顯是大大減少的
[240.6 - 243.3] 而現在的烈度跟之前相比也是相當強的
[243.3 - 248.6] 不管是港口 島嶼 橋樑 電廠 淡水廠
[248.6 - 249.9] 其實都有所涉及了
[249.9 - 251.6] 那很現實的原因就是
[251.6 - 252.8] 這一個多月的時間
[252.8 - 255.8] 這幾方其實都跟美分別達成了相關的協議
[255.8 - 259.1] 也就是說拿到了各自所需所求
[259.1 - 260.8] 好 那至於歐洲的相關國家
[260.8 - 263.8] 怎么跟之前比态度也没有那么激烈了呢
[264.8 - 267.9] 在北约峰会上特很明确了两件事情
[267.9 - 269.9] 第一就是不会退出北约
[270.2 - 272.0] 要把北约建设的更强大
[272.3 - 274.4] 第二就是在俄巫的问题上
[274.6 - 276.4] 更站到了巫的这一方
[276.4 - 279.1] 不仅对于巫要有更多更直接的支持
[279.4 - 283.6] 而且对于俄相关接下来还要推进更强硬的制裁
[283.6 - 286.2] 所以在我理解对于欧美之间
[286.2 - 288.8] 在俄巫和美以相关问题上
[288.8 - 290.6] 或许就是一物换一物吧
[290.6 - 292.4] 也就是說對於歐洲國家來說
[292.4 - 295.0] 如果美你不希望我們在中東的事件上
[295.0 - 296.8] 跟你更多的唱反調
[296.8 - 298.6] 那麼在俄烏這件事情上
[298.6 - 300.6] 你也要往我們這邊偏一偏
[300.6 - 302.7] 與此同時我們再看看實際的戰事方面
[302.7 - 306.0] 首先這兩天美軍再次啟動了B1
[306.0 - 308.2] 進行了更大力度的轟炸
[308.2 - 311.1] 第二這兩天再向中東增派兵力
[311.1 - 313.4] 以及增加運輸機加油機
[313.4 - 314.7] 第三對於伊的打擊
[314.7 - 317.8] 從之前聚焦霍爾木斯海峽整個沿線
[317.8 - 320.7] 然后已经往南出了霍尔木斯海峡了
[321.2 - 324.0] 再有就是往北西北方向
[324.1 - 325.9] 以及相关的边境口岸
[325.9 - 328.1] 这其实都是在为下一步在做准备
[328.1 - 328.9] 在做铺垫了
[329.0 - 332.1] 至于是不是马上就是美军自己亲自下场
[332.1 - 333.8] 可能暂时画一个问号
[333.8 - 336.8] 不排除其他相关国家的相关兵力
[336.8 - 337.8] 作为先遣部队
[337.8 - 339.2] 那我斗胆揣测一下
[339.4 - 341.9] 如果真的再往下一个阶段推进的话
[341.9 - 344.1] 或许不是简简单单一个方位
[344.2 - 345.5] 而是多方位推进
[345.6 - 347.2] 所以这其实就是我昨天说的
[347.2 - 350.8] 只有國際原油價格相對來說還是比較誠實的
[351.0 - 355.6] 當然再接下來其他的相關指標也慢慢不得不誠實
[356.1 - 359.2] 他們只能短暫的裝傻而不能一直裝傻
[359.4 - 361.2] 為什麼會走到現在這一步呢
[361.5 - 367.6] 首先之前所有對於不管是停戰能夠和談解決相關問題的人
[367.9 - 371.7] 真的還是要更清晰的理解他們之間深刻的矛盾
[372.2 - 374.0] 是非常非常難緩和的
[374.3 - 375.1] 幾乎不可能
[375.1 - 377.1] 第二 不管是前兩天在直播中
[377.1 - 380.3] 還是兩三個月前在視頻中其實都跟大家分享過
