[0.0 - 2.6] 昨天视频之后有朋友发私信问说
[2.6 - 4.9] 美联储接下来真的不会加息吗?
[4.9 - 7.2] 我们今天来跟大家讨论一下这个事情
[7.2 - 10.8] 美联储考虑货币政策两个重要的指标
[10.8 - 12.9] 第一就业,第二同涨
[12.9 - 14.6] 好,我们就非常直白地说
[14.6 - 17.4] 在就业这部分的数据,他们经常修正
[17.4 - 21.0] 所以我们先暂时把这个数据做为
[21.0 - 24.1] 美联储可以去调整市场预期
[24.1 - 28.8] 以及它相关一期会议当下决策的一个调节器
[28.8 - 32.1] 那另外一个也是最现实的压力就是通胀数据了
[32.1 - 35.1] 好 那我的思考是以中期选举为分界线
[35.1 - 37.5] 首先在中期选举之前
[37.5 - 39.6] 那美联储为了保证它的独立性
[39.6 - 44.9] 一般都是尽可能的去避免相关货币政策显著的转变
[44.9 - 47.3] 以免被执政党或者反对党
[47.3 - 49.9] 借着这个事情去说他们干预选情
[49.9 - 52.3] 好 第二 我们之前跟大家分享过了
[52.3 - 56.1] 美联储现在正在推进的这五个新的工作组
[56.1 - 59.6] 正在加速推進相關的調研研究
[59.6 - 61.2] 以及出一些新的報告
[61.2 - 64.4] 那之前臥實也說了這五個工作組的報告不僅要出
[64.4 - 67.2] 而且要給出相關的政策建議
[67.2 - 69.6] 所以在報告還沒有出之前
[69.6 - 72.8] 對於美聯儲或者是說對於臥實來說
[72.8 - 76.6] 其實也是有一定的理由先暫時按兵不動的
[76.6 - 80.1] 好那第三就是我們昨天視頻跟大家在後半段分享的
[80.1 - 82.2] 可能有一些朋友沒有特別留意
[82.2 - 85.2] 就是對於美來說在中期選舉之前
[85.2 - 86.9] 一个非常不确定的因素
[86.9 - 90.4] 那这就是一方去主动升级当前的中东局势
[90.4 - 92.2] 不管是打过往的商船
[92.2 - 94.7] 还是联合地区代理人扩展战局
[94.7 - 99.6] 亦或者是攻击海湾这些国家的能源电力等基础设施
[99.6 - 101.9] 那么这就会使得原油等大宗商品
[101.9 - 104.2] 价格在短期快速上涨
[104.2 - 107.0] 这就会直接影响到CPA PCE
[107.0 - 110.2] 如此一来美联储鹰派的阵营就有可能迅速扩大
[110.2 - 113.2] 从而给美联储加大了加息的压力
[113.2 - 114.7] 我们都能看明白这个事情
[114.7 - 116.5] 美政府肯定也是非常清楚的
[116.5 - 119.0] 所以他们在当下以及接下来
[119.0 - 120.9] 是会做一系列的对冲的
[120.9 - 123.4] 对冲一昨天我们的视频跟大家分享了
[123.4 - 127.4] 美相关官员以及美的相关金融媒体
[127.4 - 128.9] 不断的在释放
[128.9 - 133.2] 现在每天有很多的石油运出霍尔摩斯海峡
[133.2 - 135.2] 至于数据有没有夸张
[135.2 - 136.9] 其实我们是比较难验证的
[136.9 - 139.0] 但从国际能源价格来看
[139.0 - 141.5] 他们基本上目前还是相信的
[141.5 - 143.6] 第二就是我们这两天看到的
[143.6 - 147.9] 每位双方达成了在石油方面的超大规模的合作协议
[147.9 - 153.0] 美方获得美方以探明储量650亿桶石油的多数的控制权
[153.4 - 155.4] 那在这个时候要公布这个信息
[155.4 - 158.3] 其实很现实的目的就是要押油价
[158.3 - 160.8] 当然我们都很清楚这个协议不会在当下
[160.8 - 163.8] 非常短的时间内就变成美方规模很大的
[163.8 - 165.7] 成本非常低的石油来源
[165.7 - 169.2] 但这其实就是要对国内不管是普通的百姓也好
[169.2 - 171.2] 还是相关的选民也好
[171.2 - 174.2] 对未来自己的石油支出
[174.2 - 176.0] 降低他们的成本预期
[176.0 - 178.6] 好 那再有就是特政府说了要在9月1号
[178.6 - 183.5] 召开至少10家链油以及燃油零售巨头的高管会议
[183.5 - 187.7] 那目的第一要压零售的燃油以及柴油的价格
[187.7 - 189.8] 另外就是要扩大产能
[189.8 - 192.2] 那目前美国内的原油产量
[192.2 - 194.5] 每天大概是1380万桶
[194.5 - 197.9] 与此同时原油加成品油的进出口
[197.9 - 201.6] 每天大概是350万桶到450万桶之间
[201.6 - 204.1] 也就是说基于这些数据之上
[204.1 - 205.5] 还要再进行提升
[205.5 - 208.2] 那在9月中旬美联储一席会议之前
[208.2 - 209.2] 要把这个会开了
[209.2 - 211.6] 并且要让这些石油的生产商
[211.6 - 212.8] 做出相当的承诺
[212.8 - 214.4] 我理解也是要给
[214.4 - 216.4] 美联储9月份一席会议上
[216.4 - 219.6] 卧食有可能压力提升去降降温
[219.6 - 221.6] 那我们知道美国是车轮上的国家
[221.6 - 223.1] 不管是百姓的出行
[223.1 - 224.6] 还是国内的各种运输
[224.6 - 226.2] 主要都是靠车
[226.2 - 230.1] 所以油價對於美聯儲去參考的通脹指標是非常直接的
[230.4 - 231.4] 也就基於此
[231.4 - 233.6] 對於美國中期選舉之前
[233.8 - 236.8] 能不能盡可能的好的去控制油價
[237.2 - 241.0] 對於美聯儲的議席會議的決議是有非常直接的影響的
[241.0 - 241.3] 好
[241.3 - 243.8] 那我們說說如果在中期選舉之前
[243.8 - 246.4] 美聯儲迫於壓力去加息了
[246.6 - 248.6] 會發生哪些特別現實的狀況
[248.7 - 250.4] 首先美股肯定就不開心了
[250.4 - 252.2] 那對於不管是華爾街的支持
[252.2 - 254.6] 還是特經常去讓大家看的
[254.6 - 256.5] 美股不斷的創新高
[256.9 - 257.9] 壓力就會倍增
[257.9 - 259.0] 那股市不好了
[259.0 - 261.1] 選民的心情肯定也就不好了
[261.1 - 261.6] 第二
[261.6 - 265.2] 加息就會很直接的去推高美元的指數
[265.2 - 266.5] 美國一息會議之後
[266.5 - 268.4] 就是日本央行的一息會議
[268.7 - 271.0] 即使日本央行加息
[271.4 - 273.1] 美元指數的推升
[273.1 - 276.0] 就會對日圓匯率形成進一步的壓力
[276.0 - 277.3] 日圓匯率的不穩定
[277.3 - 279.7] 會反向又影響到美股
[279.7 - 280.3] 美債
[280.3 - 280.5] 好
[280.5 - 281.3] 那第三
[281.3 - 282.4] 是很多人說的
