[0.0 - 6.1] 这份从一开始就是各说各话的,只是走形式的,完全没有实质意义的MOU。
[6.1 - 9.7] 不到一个月之后,实质上已经停止了。
[9.7 - 12.8] 昨天特已经正式明确了,停火已结束。
[12.8 - 17.4] 当然他说,伊又找他谈了,他同意谈,但停火已结束。
[17.4 - 21.5] 也就是说,谈是可以谈的,但这事儿呢,跟停火就没有关系了。
[21.5 - 26.5] 那伊方也做了回应,说我们没有向美方提出相关的谈判诉求。
[26.5 - 28.8] 与此同时我们再看几个其他比较重要的信息
[29.1 - 31.9] 那昨天美方对伊方提出了要求
[32.6 - 33.2] 在周六
[33.4 - 34.2] 也就是今天
[34.4 - 39.3] 伊方不做出承诺说接下来保证霍尔木斯海峡的自由通行
[39.6 - 40.1] 并且
[40.3 - 42.6] 不进行任何的对商船的打击
[42.9 - 45.4] 那么美方就会对伊采取下一步的行动了
[45.7 - 50.8] 也就是说在今天要求伊对于接下来霍尔木斯海峡放弃控制
[51.3 - 53.9] 并且不能再开火这件事情下了最后通牒
[54.1 - 55.4] 另外就是美方说
[55.4 - 60.5] 一私下向美说明那之前的对于商船的相关开火呀
[61.3 - 63.3] 是另外一派去做的
[63.7 - 65.7] 跟现在谈判的这一派呢没有关系
[65.7 - 68.6] 而且他们打击商船的目的就是想破坏谈判
[69.4 - 71.4] 我们先不说这个事到底是不是真的
[71.4 - 74.2] 但在这个时候美方释放这样的信息
[74.2 - 75.6] 其实目的非常明确
[75.9 - 78.6] 就是希望能够让一的内部进一步的不团结
[78.6 - 81.6] 那其实就看一接下来会不会对这个事情进行回应了
[82.1 - 84.1] 如果说不是的话也就意味着
[84.1 - 86.4] 内部确实分歧非常大
[86.7 - 90.2] 那这也就会给美方更进一步的去离间的机会
[90.2 - 91.1] 那如果说是呢
[91.2 - 92.7] 也就意味着不管是哪个派
[92.7 - 94.4] 啊他们就是要打商船的
[95.0 - 98.0] 那一方面就是直接破坏MOU
[98.2 - 101.7] 另外一方面就是会引发周边相关国家
[101.7 - 102.8] 一致的反对声音的
[102.8 - 105.0] 好再接下来CNN的信息说
[105.0 - 108.8] 现在医正在试图重建啊相关的核设施
[108.8 - 110.4] 那在这个时候释放这个信息
[110.4 - 112.9] 其实也就是想对医进行进一步的施压
[112.9 - 117.2] 并且对于美以接下来进一步的去打击一
[117.2 - 120.7] 做更多的准备或者是说找更多的理由
[120.7 - 122.5] 另外就是美这两天也明确了
[122.5 - 125.4] 如果一在核的问题上没有明确承诺的话
[125.4 - 127.7] 双方是不可能达成协议的
[127.7 - 130.0] 这其实就跟我们之前跟大家分享的
[130.0 - 132.8] 这就是两个核心问题之一
[132.8 - 135.9] 不得到解决是不可能画上真正的句号的
[135.9 - 137.0] 但一方也明确了
[137.0 - 140.1] 不允许美以对于之前他们受损的核设施
[140.1 - 141.7] 进行相关的核查
[141.7 - 146.7] 那這跟之前美所釋放出來的說是允許核查的
[146.7 - 148.2] 是完全相悲的
[148.2 - 150.4] 另外就是美的財政部對於
[150.4 - 154.1] 一的一個比較重要的銀行商人進行進一步的制裁
[154.1 - 156.1] 那這個人常住在迪拜
[156.1 - 158.9] 那制裁他的核心原因第一就是支持革命衛隊
[158.9 - 161.9] 另外一方面就是他是不解塔巴的關鍵金主
[161.9 - 163.7] 說他把大量的資金移到海外
[163.7 - 167.6] 那這件事情值得關注的是這個人常住在迪拜
[167.6 - 168.9] 那我們知道這麼多年以來
[168.9 - 174.2] 其实迪拜的民间确实是帮助伊做相关的资金中转的
[174.2 - 176.4] 那之前没制裁现在可以制裁了
[176.4 - 180.7] 如果没有迪拜相关的协助是很难实现的
[180.7 - 184.3] 那我们也知道阿联酋是这一次中东事件到目前为止
[184.3 - 186.8] 被伊打击最多的国家了
[186.8 - 189.6] 另外就是因为了之前能够更多的去控制
[189.6 - 192.5] 整个霍尔摩斯海峡过程中的航运线
[192.5 - 195.8] 让这些邮轮更偏向于向自己这边的航道
[195.8 - 197.9] 对于阿联酋的重要石油出口港
[197.9 - 200.1] 复查伊拉岗也是多次的干扰
[200.1 - 203.1] 所以当下阿联酋更多的去配合美
[203.1 - 206.5] 对于伊的相关重要资金往来进行制裁
[206.9 - 210.1] 其实也能够反映出现在阿联酋跟伊之间的关系
[210.1 - 211.7] 也是越来越不友好的
[211.7 - 213.7] 除此之外 还有两个比较重要的信息
[214.1 - 217.1] 第一就是美方说自5月份以来
[217.1 - 219.4] 已经有800多艘商船
[219.4 - 222.3] 以及3.8亿桶的石油
[222.8 - 224.1] 从霍尔摩斯海峡中出来
[224.1 - 226.1] 那自mou签订之后
[226.1 - 229.1] 1的原油出来的差不多7000万桶
[229.1 - 231.3] 那我们知道在之前正常的状态下
[231.3 - 235.1] 通过霍尔木斯海峡运出的原油每天差不多2200万桶
[235.1 - 238.6] 那3.8亿桶也就是差不多18天的量
[238.6 - 242.1] 当然这不包括像沙特通过自己的管道运输
[242.1 - 247.6] 从盐步港出来的每天差不多600万到700万桶的原油
[247.6 - 248.6] 而值得注意的是
[248.6 - 251.6] 那我们知道现在这个MOU实质上就被废掉了
[251.6 - 253.8] 而且确实有一些商船
[253.8 - 256.4] 由于担心接下来会战火重燃
[256.6 - 257.9] 选择先观望
[257.9 - 259.8] 但通过这个图大家能看出
[259.8 - 264.3] 确实还是有商船选择从阿曼这一侧通过海峡
[264.3 - 268.6] 那目前暂时没有发现E对于相关商船的进一步打击
[268.6 - 269.8] 但确实不排除
[269.8 - 272.7] 另外就是通过Tanker Tracker的追踪数据显示
[272.7 - 277.5] 这两天已经有超过一千万桶的原油和燃料油从E运出来了
[277.5 - 282.2] 那原因就是E比较担心接下来美会重新封火龙斯海峡
[282.2 - 284.2] 好 以上信息之后我们整体总结一下
[284.2 - 285.7] 第一 美要求一
[285.7 - 288.1] 今天对于霍尔鲁斯海峡要有一个明确的态度
[288.1 - 289.2] 第一 不收费
[289.2 - 291.0] 第二 不能再打过往的商船
[291.0 - 293.1] 虽然我们不知道在时间上会不会延迟
[293.1 - 296.6] 但是这两个要求美方已经是明确提出了
[296.6 - 301.8] 那如果一 接下来对于任何一个事情进行违反的话
[301.8 - 304.3] 不排除 美都会进一步的打击的
[304.3 - 305.8] 第二 也是最开始说的
[305.8 - 308.6] 这个MOU从实质上已经要正式废除了
[308.6 - 310.6] 所以没有任何互信基础的
[310.6 - 313.4] 不管是MOU还是未来的什么协议
[313.8 - 315.5] 都是随时可以被撕毁的
[315.5 - 317.7] 两个最核心的问题得不到解决
[317.7 - 320.3] 这件事情是永远不可能画上真正的句号的
[320.3 - 322.5] 第三现在美的思路其实是非常清楚的
[322.5 - 324.4] 第一就是进一步的收紧
[324.4 - 325.4] 一的钱袋子
[325.5 - 327.4] 第二就是进一步的制造
[327.4 - 329.3] 一内部的不团结分歧
[329.3 - 332.0] 并且要让它更多的公开化
[332.0 - 334.6] 那如果一接下来有多种声音
