[0.0 - 3.6] 我们看到在9月16号的时候,伊方给美方提出的
[3.6 - 6.6] 如果让伊方打开霍尔木斯海峡的相关条件
[6.7 - 9.7] 其中比较重要的像要解冻
[9.7 - 13.3] 冻结伊朗的资产,解开对伊朗的封锁
[13.3 - 16.9] 以及美方要停止所有对伊方的军事打击等等
[17.0 - 19.9] 但已经好些天过去了,我们并没有看到
[19.9 - 23.1] 美方对伊方提的这相关条件
[23.1 - 25.2] 给予比较积极的回复
[25.2 - 28.1] 首先这些条件其实伊方以前都提出过
[28.1 - 32.1] 第二就是我们知道现在美方对于一方不光是
[32.1 - 35.4] 更多的金融制裁 银行转账的限制
[35.4 - 39.2] 货币的打压 以及从今天开始的伊朗航空
[39.2 - 41.1] 在全球范围的停运
[41.1 - 43.7] 那贝森特给出的威胁就是
[43.7 - 46.7] 谁不停就要把谁踢出美元体系
[46.7 - 50.6] 那目前看到的是确实有不少国家已经表态
[50.6 - 52.1] 从今天开始要停运
[52.1 - 54.4] 与此同时 特在昨天联合国大会上
[54.4 - 56.4] 说了几点关于伊的事情
[56.4 - 61.7] 第一就是他知道伊现在正在等着接下来中期选举的结果
[61.7 - 63.4] 所以他认为在中期选举之后
[63.4 - 67.4] 伊方就没有什么更多的理由不去跟他达成协议了
[67.4 - 69.7] 那么对于伊方提出的那七点要求
[69.7 - 71.5] 他没有任何的回复
[71.8 - 76.3] 不过他也说了在中期选举之前也有可能达成协议
[76.3 - 78.4] 好那结合以上我说说我的一些理解
[78.5 - 82.0] 对于美当前以及接下来很核心的一个思路
[82.0 - 84.7] 就是经济围堵和经济封锁
[84.7 - 90.3] 希望能够把E的钱袋子逐渐的缩紧缩紧再缩紧
[90.3 - 93.3] 那当前对于E比较现实的压力就是
[93.3 - 96.7] 虽然以前也有相关的金融制裁
[96.7 - 100.5] 但是他们的经济有一个非常重要的通道
[100.5 - 101.5] 其实就是阿联酋
[101.5 - 104.3] 那前段时间阿联酋官方也是明确表态了
[104.3 - 105.7] 这个通道已经被阻断了
[105.7 - 106.9] 所以现在对于E来说
[106.9 - 109.9] 不管是在金融方面的资金流动
[109.9 - 113.3] 还是接下来在航空方面的运输流动
[113.3 - 115.6] 会面临越来越现实的压力
[115.6 - 118.0] 所以我们想一下美接下来跟伊的
[118.0 - 120.1] 不管是说谈判还是沟通中
[120.1 - 123.5] 到底核心会提出什么要求呢
[123.5 - 125.9] 当然核武器这件事情
[125.9 - 127.2] 它肯定是要提要求的
[127.2 - 128.1] 那除此之外
[128.1 - 129.9] 那我们知道现在对于美来说
[129.9 - 132.5] 或者是说对于特的中期选举来说
[132.5 - 133.7] 最现实的压力
[133.7 - 135.5] 其实就是国内的通胀
[135.5 - 138.3] 那核心的原因就是高油价
[138.3 - 140.1] 所以如果我说的是如果
[140.1 - 141.8] 在中期选举之前
[141.8 - 146.3] 美伊在相关的条约中能够得到进一步的进展的话
[146.7 - 150.5] 我理解是需要有一条关于这个三点水的游的
[150.7 - 156.6] 不管是美伊之间接下来在伊相关石油设施石油项目方面的合作投资
[156.9 - 159.1] 还是伊接下来出口相关的石油
[159.7 - 164.9] 要回到美元计价结算 那我只是举例子 也有可能有其他方面
[164.9 - 172.9] 那核心的意思就是在相关的条款中是需要有跟依实有非常明确的条款的
[172.9 - 179.9] 因为只有类似这样的条款才能够在中期选举之前让国际原油价格快速下降
[179.9 - 184.9] 也只有此才会对特政府的中期选举是一个超级利好
[184.9 - 191.9] 否则我们想一下除此之外的其他的任何的条款其实都是有可能拿出来去指责特政府发动这场战争
[191.9 - 195.9] 並沒有帶來對於美百姓實質性的利益的
[195.9 - 198.9] 所以如果雙方沒有辦法在中期選舉之前
[198.9 - 202.3] 就伊的石油問題達成更多的共識的話
[202.3 - 204.0] 那麼不管是在中期選舉之前
[204.0 - 205.5] 還是中期選舉之後
[205.5 - 208.5] 當然更多的可能性是在中期選舉之後
[208.5 - 211.8] 美方會進一步加大對伊方的打擊的
[211.8 - 214.3] 所以我們看到特這兩天多次說
[214.3 - 216.3] 接下來他有一個很重要的決定要做
[216.3 - 218.5] 是跟伊推進達成協議呢
[218.5 - 221.4] 還是要加大對伊的更多的打擊呢
[221.4 - 226.3] 所以说回来其实跟我们在四月份五月份跟大家分享的基本上是一致的
[226.8 - 230.9] 金字旁的油其实只是美方所谓的合理的理由
[230.9 - 233.9] 真正的最核心的目标还是三点水的油
[234.7 - 237.6] 现在美已经逐渐瓦解了欧佩克
[238.2 - 243.3] 同时他又基本上获得了伟德石油的相关权利
[243.3 - 246.4] 与此同时他已经成为全球最大的原油生产国
[246.4 - 249.4] 每天的产量将近1400万桶
[249.4 - 252.4] 然后也实现了原油加成品油
[252.4 - 254.4] 每天的进出口
[254.4 - 257.4] 大概是350万桶到450万桶之间
[257.4 - 259.4] 所以说的现实或者是说直接一点
[259.4 - 261.4] 所有的这些理由之中
[261.4 - 265.4] 只有这三点水的油是最核心的
[265.4 - 266.4] 也就是因为此
[266.4 - 269.4] 那这么长时间以来特啊很贪婪啊
[269.4 - 272.4] 所以他一直没有能下定决心
[272.4 - 275.4] 全方位的去打击一的能源设施
[275.4 - 280.4] 能源设施 所以在我看来当下以及接下来双方的不管是沟通也好谈判也好
[281.1 - 289.5] 必须要盯紧的 或者是说最核心要盯住的就是关于这三点水的油 那对于美来说 一方面他要进一步的维护巩固
[290.0 - 296.0] 石油美元这个体系 另外就是他认为他必须要有一张在全球
[296.6 - 302.7] 都离不开的能源方面的这张牌 那一方面是金融方面的垄断 另外一方面就是
[302.7 - 308.4] 只有此他才有可能在更多的重要博弈中有话语权
