[0.0 - 6.4] 在我看来,现在除了国际援油价格比较诚实之外,其他的相关指标都在装傻。
[6.4 - 9.5] 大家其实心里都非常清楚,接下来会发生什么。
[9.5 - 11.6] 这是没有办法阻止的。
[11.6 - 14.5] 而只要还没发生,就先暂时当它不存在。
[14.5 - 19.7] 打击的目标从霍尔木斯海峡内,像科什木岛、阿巴斯港等重点地区,
[19.7 - 23.2] 已经延展到霍尔木斯海峡外以南的地方。
[23.2 - 27.4] 与此同时,西北方向的大不利市也开始遭到打击。
[27.4 - 35.9] 前两天一方说中间的握拳方给到他们的信息是看看能不能接下来有一个十天的停火期
[35.9 - 39.8] 那特直接就否定了不谈
[39.8 - 46.9] 与此同时今天应该算是最爆炸性的信息就是特政府批准了跟沙特的未来30年的核协议
[46.9 - 51.6] 从民用核项目不排除接下来会扩展到浓缩油的设施建设
[51.6 - 52.8] 而非常詭異的是
[52.8 - 55.8] 這麼重磅的一個信息出來一天了
[55.8 - 59.0] 沒有相關方對他有直接的反應
[59.0 - 61.4] 這要在以前有這麼重要的信息出來
[61.4 - 63.0] 早就各種的爭論了
[63.0 - 64.4] 但異常的安靜
[64.4 - 66.6] 沙特自己沒有相關的表態
[66.6 - 69.0] 好 我們就算他是當事人
[69.0 - 71.0] 他現在心裡正在窃喜
[71.0 - 73.2] 不便發表太多的聲明
[73.2 - 74.7] 想看其他人的反饋
[74.7 - 77.0] 以色列也沒有任何的表態
[77.0 - 78.8] 當然 我們也可以說
[78.8 - 80.0] 他早就知道了
[80.0 - 81.5] 美早就跟他沟通了
[81.5 - 83.9] 而且这是他们达成共识的
[83.9 - 86.0] 好那为什么已会同意呢
[86.0 - 88.8] 在我理解最重要的一个原因就是
[88.8 - 90.6] 沙特应该同意了美方
[90.6 - 93.6] 接下来会加入亚伯拉罕协议的签署
[93.6 - 97.8] 也就是正式推进跟以色列之间的关系正常化
[97.8 - 102.9] 而中东阿拉伯国家各个国家对这件事情也没有任何的反应
[102.9 - 105.6] 难道他们也是都知道了吗
[105.6 - 109.2] 最后也是最奇怪的就是伊朗对这件事情
[109.2 - 111.8] 到目前为止没有任何的反应
[111.8 - 113.6] 如果按照常规路径来看
[113.6 - 116.1] 伊应该起码有一个反应就是
[116.1 - 118.2] 美方那你这不是双标吗
[118.2 - 121.9] 如果你能同意沙特有米用河
[121.9 - 123.4] 那我也应该有
[123.4 - 125.9] 与此同时你接下来有可能去支持
[125.9 - 127.6] 他的农所有的设施建设
[127.6 - 129.9] 那我也应该有权利用
[129.9 - 131.1] 但伊朗在这一次
[131.1 - 132.6] 并没有对这件事情
[132.6 - 134.3] 有任何直接的反馈
[134.3 - 136.4] 这在我来看是非常奇怪的
[136.4 - 138.0] 那至于美方在这个时候
[138.0 - 139.6] 把这个重要的信息释放出来
[139.6 - 141.3] 其实目的是非常清楚的
[142.0 - 144.6] 拉拢沙特也告诉伊朗
[144.6 - 147.0] 沙特现在在我的这一边
[147.4 - 148.1] 与此同时
[148.1 - 151.1] 其实这也就意味着沙特和以色列
[151.1 - 153.2] 接下来的关系是有机会
[153.2 - 156.4] 并且大概率要往正常化的方向去推进了
[156.4 - 157.8] 而这个信号释放出来
[157.8 - 158.9] 那对伊朗来说
[158.9 - 161.0] 就是更进一步的压力施加了
[161.0 - 161.3] 好
[161.3 - 162.7] 那说回开篇说的
[162.7 - 163.5] 在我来看
[163.5 - 165.2] 除了国际援油价格以外
[165.2 - 167.4] 其他的重要的指标都在装
[167.4 - 168.9] 因为种种迹象表明
[168.9 - 172.3] 啊 美在这个地方要做的相关的事情
[172.3 - 174.1] 其实一点都没有停
[174.1 - 175.6] 而且是在加速推进的
[175.6 - 176.9] 而接下来要发生的
[176.9 - 179.6] 其实就是从2月28号开始的那一天
[179.6 - 182.0] 就注定着接下来肯定会发生的
[182.0 - 184.1] 而真的越来越临近那一刻的时候
[184.1 - 186.1] 大家就先选择装傻
[186.3 - 187.7] 直到它真正发生
