[0.0 - 3.2] 昨天的视频有不少朋友还是可以在思考之后理解的。
[3.2 - 6.1] 与此同时我看到有的朋友提了一些问题,
[6.1 - 12.5] 由于现在我在国外休假,我针对一些比较集中的问题尽可能的简洁跟大家做一下回复。
[12.5 - 14.9] 第一,日本的汇率现在变成了这个样子,
[14.9 - 18.5] 最直接的问题也是他们必须要面对的问题到底是什么。
[18.5 - 21.6] 在我来看,这就是日本央行错误的决策,
[21.6 - 25.1] 甚至我愿意把它形容为能力太差。
[25.1 - 26.9] 日本已经逐渐走出了通缩,
[26.9 - 29.6] 并且开始进入到通胀的通道。
[29.6 - 31.6] 国内的物价压力越来越大
[31.6 - 33.6] 而且他的名义工资已经连续5个月
[33.6 - 35.6] 都是超过3%的增长了
[35.6 - 37.6] 这其实都为他加息
[37.6 - 39.6] 奠定了非常清晰的基础
[39.6 - 41.6] 好 那大家要知道金融是什么
[41.6 - 43.6] 金融是预期的游戏
[43.6 - 45.6] 记住是预期的游戏
[45.6 - 47.6] 而货币政策最关键的是要在
[47.6 - 49.6] 恰当的时候去推出相关的工具
[49.6 - 51.6] 也就是说
[51.6 - 53.6] 要拿捏住那个最重要的窗口期
[53.6 - 55.6] 明明日本已经具备了加息的
[55.6 - 57.6] 现实条件 而该加息的时候
[57.6 - 60.7] 不加息,這就讓國際上的這些空頭
[60.7 - 63.2] 不斷地看到了日本央行的軟弱
[63.2 - 65.5] 以及無所作為,也就是如此
[65.5 - 68.1] 日圓的匯率才會從155
[68.1 - 71.1] 157,160,這每一次往下跳
[71.1 - 74.8] 其實都是國際空頭對於日本央行的不屑
[74.8 - 77.7] 當貨幣政策沒有辦法給出及時的預期的時候
[77.7 - 80.1] 這就讓國際空頭進一步的肆無忌憚
[80.1 - 83.0] 也就是說如果這一次美國不出手協助他支撐
[83.0 - 85.8] 日圓匯率的話,不排除日圓匯率還會
[85.8 - 86.9] 会进一步的下挫的
[86.9 - 87.8] 好 第二个问题
[87.8 - 88.6] 有些朋友说
[88.6 - 89.7] 日本洋行怎么能加息呢
[89.7 - 90.7] 他怎么敢加息呢
[90.7 - 92.1] 他现在债务压力已经这么大了
[92.1 - 93.0] 再加息
[93.0 - 94.7] 那他这付得起
[94.7 - 95.6] 这债务利息吗
[95.6 - 96.6] 首先大家要知道
[96.6 - 98.9] 一个国家最重要的是他的货币
[99.0 - 100.6] 一旦你这个国家的货币
[100.6 - 101.7] 在全球来看
[101.7 - 103.8] 都可以被这么肆意的
[103.8 - 104.5] 所狙击
[104.5 - 106.8] 或者是说可以这么被大家所不屑
[106.8 - 108.3] 以及你说的话
[108.3 - 109.6] 国际上的这些大资本
[109.6 - 110.4] 都不听的话
[110.4 - 112.0] 就算是你控制了债务利息
[112.0 - 113.0] 但你的货币
[113.0 - 114.5] 以及你的央行说的话
[114.5 - 116.0] 以后就越来越不管用了
[116.0 - 118.3] 当然还有一个他们舍不得加息的原因就是
[118.3 - 120.7] 他希望能够保持自己的出口竞争优势
[120.7 - 122.4] 那说到这如果细心的朋友应该记得
[122.4 - 124.7] 其实从去年高市政府上台
[124.7 - 127.3] 美国财政部长贝森特已经开始跟
[127.3 - 129.3] 片山高越有多次的沟通了
[129.3 - 131.3] 其实每一次都是在告诉他们
[131.3 - 132.2] 你该加息了
[132.2 - 134.7] 所以对于像贝森特这种在货币汇率
[134.7 - 135.5] 经验丰富
[135.5 - 137.9] 对冲基金一线操盘了30年的老将
[137.9 - 139.1] 他早就看到了问题
[139.1 - 140.9] 说实话如果是我想象的话
[140.9 - 143.0] 他对于片山高越以及日方
[143.0 - 145.4] 絕不僅僅是簡單的建議
[145.8 - 148.6] 我甚至不排除應該有很強烈的批評
[148.6 - 150.0] 甚至應該都告訴過他們
[150.0 - 153.2] 如果接下來不穩步的小步的
[153.2 - 154.7] 逐步的去加息的話
[154.7 - 156.1] 接下來他們會面臨著什麼
[156.1 - 156.8] 第三個問題
[156.8 - 158.6] 當前費森特到底是一個什麼樣的心態
[158.8 - 160.2] 首先一定是非常生氣
[160.8 - 163.0] 我們知道幾個月前日本政府出手
[163.0 - 163.7] 該遇過匯率
[163.7 - 165.7] 當時日本政府是通過賣美債的方式
[165.9 - 167.1] 也是數百億美元
[167.3 - 168.0] 有效果嗎
[168.2 - 168.9] 非常短
[168.9 - 169.5] 為什麼呢
[169.5 - 170.8] 就是前面跟大家分享的
[170.8 - 173.3] 当国际空头看到日本央行的软弱无能
[173.3 - 174.3] 没有决断力
[174.3 - 176.3] 他们根本不放在眼里
[176.3 - 178.7] 而且日本央行的操作方式是遮遮掩掩
[178.7 - 179.8] 半说半不说
[179.8 - 181.8] 没有任何的霸气站到台前
[181.8 - 184.0] 所以结果就是我们看到的几百亿美元
[184.0 - 185.0] 负值一具
[185.0 - 185.9] 毫无效果
[185.9 - 187.2] 结果还迎来了
[187.2 - 188.7] 日元汇率进一步的下跌
[188.7 - 191.4] 而且日本当局选择的是卖美债而不是加息
[191.7 - 192.4] 并且
[192.4 - 194.5] 大概率他的这种操作方式
[194.5 - 196.4] 没有提前跟美方进行沟通
[196.4 - 197.9] 也就是说不仅自己能力不足
[197.9 - 199.2] 还不虚心求教
[199.2 - 200.6] 结果一塌糊涂
[200.6 - 202.6] 所以我们看到这一次美日双方的操作
[202.6 - 204.6] 第一 对外一起发生
[204.6 - 207.6] 第二 小便条故意让记者拍到
[207.6 - 209.6] 表明美方的态度
[209.6 - 210.6] 第三 也是非常关键的
[210.6 - 213.6] 同时也是昨天在视频的评论里
[213.6 - 214.6] 有些朋友是有误解的
[214.6 - 215.6] 在美方来看
[215.6 - 218.6] 如果日方提前去跟美方沟通
[218.6 - 220.6] 相关的抛售美债的想法的话
[220.6 - 223.6] 美方是可以提供更好的建议的
[223.6 - 225.6] 也就是我们之前在这个视频跟大家介绍过的
[225.6 - 229.6] 关于外国和国际货币当局常被回购机制
[229.6 - 232.6] 这也就意味着其实日方不需要真实的去抛美债
[232.6 - 234.6] 而是把他手里持有的美债
[234.6 - 236.6] 在美方进行抵押即可
[236.6 - 239.6] 那当前日方一天所获得的额度可以到600亿美元
[239.6 - 241.6] 而贝森特最新也说了
[241.6 - 243.6] 考虑把相关的额度进行提升
[243.6 - 246.6] 所以这其实也就是说如果在几个月之前
[246.6 - 248.6] 日方相关决策之前
[248.6 - 250.6] 跟美方有充分的沟通的话
[250.6 - 251.6] 不至于去抛美债
[251.6 - 253.6] 也不至于给美债更多的压力
[253.6 - 255.6] 所以如果你是贝森特
[255.6 - 256.6] 能不生气吗
[256.6 - 258.6] 好 那接下来
[258.6 - 260.6] 接下來日方會怎麼辦呢
[260.6 - 262.6] 那我們看到了當前美方已經直接出手了
[262.6 - 264.6] 也就意味著這事兒它是攬過來了
[264.6 - 266.6] 它很難半路退縮
[266.6 - 268.6] 因為一旦退縮也就意味著
[268.6 - 270.6] 美方不管是美聯儲還是財政部
[270.6 - 272.6] 在全球金融方面的影響力
[272.6 - 274.6] 會打折扣
[274.6 - 276.6] 但這絕不意味著日方可以躺平
[276.6 - 278.6] 而美方全權幫它收拾攬攤子
[278.6 - 280.6] 也就是說接下來日方是很難擺脫
[280.6 - 282.6] 加息的路徑的
[282.6 - 284.6] 到這兒我們要清晰一件事情
[284.6 - 286.6] 日圓是影子美元
[286.6 - 288.6] 你一定会连锁到美元体系的
[288.6 - 289.8] 所以对于美国来说
[289.8 - 293.1] 必须要先让问题不能波及到自己
[293.1 - 296.3] 要让问题尽可能的先锁定在日本内部
[296.3 - 297.4] 加息你说有压力
[297.4 - 298.3] 那你得想办法解决
[298.7 - 300.4] 不能说你认为有压力
[300.4 - 301.9] 就把问题都甩出去
[301.9 - 304.2] 那你要找到新的经济增长点
[304.2 - 305.5] 不管是半导体
[305.5 - 306.4] 还是ai
[306.4 - 308.2] 还是相关的科技航天
[308.2 - 309.3] 那如果按我的理解的话
[309.3 - 310.4] 在以上的这些方面
[310.4 - 311.8] 美国应该是会帮他的
[311.8 - 313.4] 就像这两天这个信息
[313.4 - 314.4] 日本 美国
[314.4 - 316.4] 以及阿联酋和其他的一些国家
[316.4 - 318.9] 接下來要在日本建最大的AI數據中心
[318.9 - 320.6] 也就是說在美國看來
[320.6 - 323.9] 接下來必須要讓日本能夠跟上自己
[324.2 - 326.4] 乘上AI發展的快車
[326.4 - 328.4] 通過AI的快速發展和繁榮
[328.4 - 329.6] 從而實現經濟的繁榮
[330.1 - 331.8] 當然以現在的日本來看
[331.8 - 334.2] 這方面所面臨的挑戰還是不小的
[334.5 - 336.2] 除此之外好像很巧
[336.5 - 337.4] 就在這兩天
[337.8 - 340.4] 美國幫助日本支撐匯率的這兩天
[340.8 - 342.8] 日本發了什麼什麼白皮書
[342.8 - 345.3] 那對於我們的相關定位的評價
[345.3 - 347.3] 在我来看也是非常有挑衅性的
[347.3 - 348.3] 说实话
[348.3 - 352.3] 这些方式和方法没有美国在后面推他一把
[352.3 - 353.3] 或者是说指使
[353.3 - 354.3] 他敢做吗
[354.3 - 355.3] 所以对于美国来说
[355.3 - 356.3] 就日本的金融
[356.3 - 359.3] 一方面当然是让他别出大问题
[359.3 - 360.3] 在整个亚洲能立得住
[360.3 - 364.3] 然后就是进一步的维护和巩固自己的美元体系
[364.3 - 365.3] 除此之外更重要的是
[365.3 - 368.3] 要让他更直接的依附于自己
[368.3 - 369.3] 以及听命于自己
[369.3 - 371.3] 日本之前是使了一些小伎俩
[371.3 - 372.3] 抛了美债结果不管用
[372.3 - 373.3] 他也理解了
[373.3 - 374.3] 自己应该是高估自己了
[374.3 - 377.6] 高估自己了 现在只能又回头非常非常谦虚的
[377.6 - 380.2] 找美国来帮助自己了 那我们想一想这里边
[380.2 - 383.1] 能没有利益互换吗 而通过这样一次事情
[383.1 - 385.8] 其实接下来日本跟美国
[385.8 - 389.0] 也就绑定的更紧了 那到这儿想跟朋友们说的是
[389.0 - 392.0] 这次为了日本 美国打破了自己在几十年以来
[392.0 - 395.4] 不会去直接干预其他国家货币政策的
[395.4 - 397.8] 这条边界 那大家想一想
[397.8 - 400.3] 接下来他不会让日本为他
[400.3 - 402.9] 牺牲去做一些事情吗 而他们二者之间的
[402.9 - 406.9] 在我来看绝不仅仅是这一段时间以来的军事方面同盟
[406.9 - 410.9] 更重要的是接下来在货币政策方面的同盟
[410.9 - 413.9] 那最后想做一个小补充可能有些朋友不是特别愿意听
[413.9 - 416.9] 每当我们去谈到日本的一些问题的时候
[416.9 - 419.9] 多多少少大家都会有一些情绪上的影响
[419.9 - 420.9] 我有的时候也会的
[420.9 - 422.9] 但希望给大家一个建议就是
[422.9 - 424.9] 当我们要去思考金融方面的问题的时候
[424.9 - 428.9] 尤其是跟日本相关的金融方面的问题的时候
[428.9 - 431.9] 建议大家先把情绪摘出来
[431.9 - 434.7] 盡可能的保持客觀冷靜的態度
[434.7 - 436.5] 因為大家一定要理解接下來
[436.5 - 439.5] 全球的金融博弈會非常非常複雜
[439.5 - 441.7] 以及在我理解可能很殘忍的
[441.7 - 443.5] 而金融是一個無聲無息
[443.5 - 445.5] 並且殺傷力極強的武器
[445.5 - 446.9] 一旦過多的受情緒的影響
[446.9 - 448.5] 我們很有可能就會錯過
[448.5 - 450.1] 一些非常重要的細節的
[450.1 - 451.9] 再有就是真的不要低估貝森特
[451.9 - 453.5] 我知道可能會有一些朋友不屑
[453.5 - 454.9] 但真的不要低估他
[454.9 - 458.5] 從98年的金融危機到次貸危機
[458.5 - 461.3] 從狙擊英鎊到之後的狙擊日圓
[461.3 - 463.9] 他是我们现在在台面上看到的
[463.9 - 466.9] 这几十年来一直都活跃在一线
[466.9 - 469.4] 并且直接参与过之前
[469.4 - 471.6] 这些非常严重的金融危机的
[471.6 - 472.8] 那个一线操盘手
[472.8 - 474.2] 当然我们不是要神话他
[474.2 - 476.6] 但在我理解他应该是整个特政府
[476.6 - 478.4] 这个班子里为数不多的
