[0.0 - 4.3] 基于昨天的那条视频和今天早上的这条视频,
[4.3 - 9.9] 如果你认真消化之后,那我想给普通的投资者几个建议。
[9.9 - 12.9] 第一,不管是美联储接下来的相关货币政策,
[12.9 - 15.7] 以及卧室接下来要做的各种调整,
[15.7 - 18.5] 还是中东这件事情的发展。
[18.5 - 24.6] 你的相关决策是应该按照他们是很有可能往哪个方向去发展去思考的,
[24.6 - 29.9] 而不是你希望他们按照哪个方向往下去发展而思考的。
[29.9 - 32.2] 也就是说你要少一些情绪
[32.2 - 37.1] 而必须基于当前以及接下来的客观判断
[37.1 - 40.7] 第二 请从内心深处敬畏市场 尊重市场
[40.7 - 45.9] 并且要正视接下来有可能面对的一系列的变化
[45.9 - 50.1] 第三 有些事情就是会发生在大家麻木的时候
[50.1 - 52.1] 大家觉得可以不屑的时候
[52.1 - 54.3] 所以千万不要掉以轻心
[54.3 - 59.1] 第四 金融加舆论的联合起来的收割是接下来的主线
[59.1 - 62.3] 所以你要非常清晰的對自己有兩個認知
[62.3 - 65.5] 第一就是你有沒有充足的信息來源
[65.5 - 69.5] 以及有沒有能力去分辨各種信息
[69.5 - 73.1] 以及排除或者是說清除掉一些雜音
[73.1 - 76.1] 第二你對於之前的這100多年
[76.1 - 78.3] 美的各種金融加輿論的手段
[78.3 - 80.3] 是不是足夠的熟悉
[80.3 - 83.2] 與此同時自己的金融基礎知識
[83.2 - 86.0] 或者是說基本技能足夠的靈活
[86.0 - 87.9] 最後對於大部分的人來說
[87.9 - 91.8] 其实首先要考虑的是自己的损失是不是可控
[91.8 - 94.3] 或者是说是不是可以尽可能的小
[94.3 - 97.1] 而不是说自己一定能挣到多少
[97.1 - 101.3] 那不确定性以及各种波动也是会越来越多的
[101.3 - 104.3] 最后对于美现在头部的这些金融机构
[104.3 - 106.3] 各种盐爆啊各种预测啊
[106.3 - 107.5] 一定要小心
[107.5 - 111.5] 从之前对黄金的各种高唱到现在的演习息鼓
[111.5 - 113.9] 相信大家应该也就能理解一二了
[113.9 - 115.1] 那综上所述
[115.1 - 117.7] 大家再去思考相关的决策的时候
[117.7 - 120.7] 一定要有自己非常清晰的邏輯主線
[120.7 - 122.2] 不管是對於美聯儲接下來
[122.2 - 123.7] 還是中東事件接下來
[123.7 - 125.7] 要更關注的或者是說
[125.7 - 127.2] 真正有意義的
[127.2 - 129.7] 還是他們到底在推進那些事情
[129.7 - 131.2] 或者是說真正
[131.2 - 133.7] 為了他們的目的在推進那些事情
[133.7 - 135.7] 而不是這張嘴
