[0.0 - 6.1] 日元兌美元的汇率这两天突破了前段时间的高点155,现在到了153。
[6.1 - 11.5] 那几个比较重要的原因,第一就是前段时间日本央行相关官员的发言整体呢,
[11.5 - 19.5] 对于接下来九月份日本央行一夕会议加息的预期给了一个相对来说比较明确的暗示。
[19.5 - 25.3] 除此之外,不光是说要加息,而且表明了是有可能连续加息的。
[25.3 - 28.9] 第二就是在前些天G20的全球財長峰會上
[28.9 - 31.7] 那偏山高也說了如果有需要的話
[31.7 - 34.6] 不排除接下來美日會對日圓匯率
[34.6 - 35.8] 進一步的聯合行動
[35.8 - 37.3] 第三就是今天公佈了
[37.3 - 40.0] 日本7月份的民意工資增長
[40.0 - 43.8] 增速是創了1997年以來的最大增長幅度
[43.8 - 47.1] 而且這也是連續6個月增幅超過3%
[47.1 - 49.8] 這對這個月日本央行加息
[49.8 - 51.4] 又是給加了一注的
[51.4 - 53.3] 那前兩天的視頻也跟大家說了
[53.3 - 57.6] 在市場上尤其是當前越來越不確定的市場環境下
[57.6 - 62.3] 切記總是用我覺得一定怎麼怎麼樣去思考問題
[62.3 - 65.8] 而更多的應該轉換到市場是怎麼認為的
[65.8 - 67.1] 市場是怎麼理解的
[67.1 - 71.2] 所以從這兩天日圓匯率快速升值並且突破了前期的高點
[71.2 - 73.0] 其實可以看出兩件事情
[73.0 - 77.9] 第一就是市場對於未來日圓匯率會進一步的升值
[77.9 - 80.9] 目前來看是有了初步的共識的
[80.9 - 84.8] 那很重要的一个分界点就是155的这个分界点
[85.0 - 89.1] 目前已经被打开那第二就是之前这个视频跟大家分享的
[89.4 - 92.4] 接下来要更多的去关注日元套利的交易
[92.4 - 95.3] 那当前日元汇率的这种快速升值不排除
[95.5 - 98.3] 已经有一部分的日元套利交易
[98.6 - 99.6] 开始在品仓了
[99.6 - 101.9] 那当然主要是基于前面第一点
[101.9 - 104.7] 对于日元汇率接下来会进一步升值的思路
[105.0 - 107.0] 除此之外我们看一下今天的日经指数
[107.0 - 110.0] 虽然今天日要汇率快速升值
[110.0 - 113.4] 但是对日经指数影响并不非常明显
[113.4 - 115.4] 其实也可以理解这段时间以来
[115.4 - 117.8] 市场已经在逐步去消化
[117.8 - 121.0] 接下来日本有可能要加息的这个预期了
[121.0 - 123.4] 好那到这也确实要说一个事情就是
[123.4 - 127.2] 其实日本央行现在确实还没有实际的加息
[127.2 - 131.2] 但是通过这一两个月的相关行为也好
[131.2 - 133.2] 还有一些进一步的言论也好
[133.2 - 136.3] 其實已經在一定程度上實現了
[136.3 - 137.6] 加息的目的了
[137.8 - 140.1] 這也是我們之前跟大家分享的
[140.1 - 141.3] 口頭加息的效果
[141.3 - 143.1] 那如果接下來九月份它選擇
[143.1 - 143.9] 按兵不動
[143.9 - 145.4] 當然從市場的角度
[145.4 - 147.4] 這個可能性是非常低的
[147.4 - 148.9] 如果發生了的話
[148.9 - 151.1] 那不排除接下來日圓匯率
[151.1 - 153.1] 會有一個非常劇烈的震盪的
[153.1 - 154.7] 那如果按照加息的預期
[154.7 - 156.0] 去實際落地的話
[156.0 - 158.6] 對於接下來的日本匯率升值
[158.6 - 159.9] 會有進一步的支撐
[159.9 - 160.9] 好 那說完以上
[160.9 - 162.4] 我們是不是只看到這裡呢
[162.4 - 168.6] 不然呢再看看歐洲央行那前段時間他們也是釋放了信號不排除
[168.8 - 175.0] 接下來會進一步的加息好那再看看韓國不光是他們的央行官員甚至連他們的第一負責人
[175.2 - 179.1] 都親自站出來說接下來的加息是不可避免的
[179.3 - 182.6] 所以我們看到那接下來全球的這些
[182.9 - 184.4] 比較重要的央行
[184.9 - 191.6] 整體的思路其實都是按照加息去推進的好那我們想一想如果接下來他們都在推進
[191.6 - 194.6] 本币升值的话 那么美元就相对来说
[194.6 - 197.3] 不会再那么贵了 对于美国的进口商
[197.3 - 199.8] 来说 其实就降低了一部分压力
[199.8 - 202.3] 这其实相当于外包了一部分
[202.3 - 205.8] 抗通胀的工作 那么对于美联储接下来的
[205.8 - 208.5] 降息操作空间 其实就比以前
[208.5 - 211.0] 要大了 那之前我们也跟大家分享过 对于
[211.0 - 214.3] 美国来说 如果后期降息了
[214.3 - 217.2] 他肯定还是希望流出去的这些钱
[217.2 - 220.0] 尽可能流到他更愿意希望
[220.0 - 222.2] 他们流到的相关国家和地区
[222.2 - 223.8] 再有很重要的一点就是
[223.8 - 225.8] 像欧洲、日本、韩国
[225.8 - 227.6] 这都是很重要的能源
[227.6 - 229.2] 以及原材料的进口国
[229.2 - 231.0] 那如果这些经济体接下来
[231.0 - 234.4] 会一起去推进货币收紧政策的话
[234.4 - 236.4] 其实是会在一定程度上
[236.4 - 238.8] 压制对于这些大宗商品的需求的
[238.8 - 240.4] 那么这就会压低全球
[240.4 - 243.2] 像原油、工业、金属的大宗商品价格了
[243.2 - 245.6] 其实是等于他们从源头上
[245.6 - 248.4] 在帮助美联储去降低
[248.4 - 249.8] 输入性通胀的压力的
[249.8 - 254.0] 也就等于他们在帮美联储分担一部分的紧缩压力
[254.0 - 257.1] 那当这个路径开启并逐渐跑通之后
[257.1 - 259.6] 其实就是我们之前跟大家分享的
[259.6 - 261.9] 弱美元但强势美元的思路了
[261.9 - 265.6] 第二全球如果主要的思路是加息的话
[265.6 - 268.8] 那么对于一些有着降息需求的地方
[268.8 - 270.8] 就会形成更进一步的压力了
[270.8 - 274.5] 好那到这儿再去理解一下昨天发的视频的内容
[274.5 - 276.6] 或许就会有更进一步的思考了
