[0.1 - 5.5] 我没想到,在昨天的视频里,跟大家重点说了一下,
[5.5 - 8.1] 接下来最不确定的因素,
[8.1 - 14.1] 1,不排除有可能会主动升级中东的局势,这么快就来了。
[14.1 - 22.6] 没打了1的发射装置,原因是他们观察到1正准备往霍尔木斯海峡里发射有水雷的火箭。
[22.6 - 25.6] 然后很快1就回击了,打了美军基地。
[25.6 - 27.3] 雖然雙方都有自己的理由
[27.3 - 29.8] 但現實就是美元指數拉升
[29.8 - 30.8] 油價拉升
[30.8 - 32.2] 黃金有一定的下挫
[32.2 - 35.0] 與此同時日圓匯率又被迫走高了
[35.0 - 36.7] 好了到這我必須要說
[36.7 - 39.7] 一還是挺會挑時間的
[39.7 - 44.3] 大家知道接下來就是G20的財長會議
[44.3 - 46.8] 這次的會議其實是很重要的
[46.8 - 49.3] 不光是貝森特參加
[49.3 - 50.6] 沃什也要參加
[50.6 - 53.6] 而且美的這幾個非常重要的
[53.6 - 56.2] KAA科技公司的大佬也都要参加
[56.2 - 58.6] 所以最新中东的又一次的开战
[58.6 - 61.3] 其实会比较直接的给这一次
[61.3 - 64.1] G20财政会议相关的发言
[64.1 - 65.1] 有更多的压力
[65.1 - 68.5] 而且国际油价也会有进一步的承压
[68.5 - 70.6] 所以朋友们可能就更能理解
[70.6 - 72.6] 昨天和前天这两条视频
[72.6 - 74.6] 我特别要说的就是
[74.6 - 77.6] 接下来对于在中期选举之前
[77.6 - 81.1] 美的相关政策这个最大的不确定性
[81.1 - 84.3] 因为这件事情美方是很难控制的
[84.3 - 89.1] 而其他的其实在短期都是可以通过相关的
[89.1 - 93.1] 不管是说还是做有所控制的
[93.1 - 95.9] 而越接近一期会议以及越接近中期选举
[95.9 - 100.3] 这个不确定性它产生的影响也会被进一步的放大的
[100.3 - 102.9] 所以有一些可能比较关注黄金的朋友
[102.9 - 107.9] 不要低估接下来的这两个月各种的剧烈波动
