[0.3 - 6.3] 中东这件事上,最重要的一个看点,在我来看,就是关于亚伯拉罕协议了。
[6.3 - 10.3] 沙特现在被迫卷入了中东实际的战争中。
[10.3 - 18.3] 美国也是非常狡猾,自己不出手,让尹尉间接地在出手帮助沙。
[18.3 - 26.9] 沙跟各方,包括美、英、土、巴,都做出了相应的求助。
[26.9 - 27.9] 求助
[28.3 - 30.4] 那第一個站出來實質性的幫助他的
[30.4 - 31.3] 是以
[31.3 - 33.6] 沙以這兩國家在之前
[33.6 - 36.1] 是沒有實現關係正常化的
[36.2 - 39.7] 與此同時在官方的正式溝通
[39.7 - 42.5] 他們也幾乎沒有機會坐在一個桌子上
[42.5 - 45.4] 而現在我們不僅看到了在上周
[45.6 - 48.6] 美、以、沙以及中東的
[48.6 - 51.8] 這些海灣國家在德國開了個密會
[52.3 - 55.9] 美國表了態說我們接下來不會撤出中東
[55.9 - 57.9] 與此同時跟他們一起溝通
[57.9 - 59.9] 接下來在霍爾蒙斯海峽
[59.9 - 61.9] 擴展自由航行的事情
[61.9 - 63.9] 那也明確地告訴了大家
[63.9 - 65.9] 現在已經在正式的幫助上
[65.9 - 67.9] 目前主要是情報方面的工作
[67.9 - 69.9] 在我看來
[69.9 - 71.9] 接下來海除
[71.9 - 73.9] 會進一步的擴展的
[73.9 - 75.9] 你可以說這是一個陰謀
[75.9 - 77.9] 但其實也是陽謀
[77.9 - 79.9] 因為對於美來說
[79.9 - 81.9] 尤其是對於當前的特政府來說
[81.9 - 83.9] 如果想真正的
[83.9 - 86.9] 要實質性的解決中東的問題的話
[86.9 - 90.4] 那麼就必須要讓現在還沒有簽署
[90.4 - 93.4] 亞伯拉罕協議的這些國家要陸續簽
[93.4 - 97.3] 特的第一個任期簽的像巴林、UAE
[97.3 - 100.5] 當然之外還有像摩洛哥、蘇丹等等
[100.5 - 102.3] 然後在這個任期呢
[102.3 - 104.8] 去年是哈薩克斯坦加入了
[104.8 - 108.3] 所以對於現在海灣這些國家還沒有簽的
[108.3 - 111.9] 其實其他這幾個都在看沙特的意思
[111.9 - 114.9] 那前些天沙特其实也是跟美直接求助过
[115.2 - 117.0] 但美没有直接的出手
[117.2 - 118.4] 而是绕了一个道
[118.6 - 120.0] 让乙在帮助沙
[120.8 - 122.3] 我们有一句老话叫
[122.8 - 123.7] 拿人手短
[123.9 - 124.7] 吃人嘴短
[124.7 - 127.1] 现在沙已经是被迫在其中了
[127.3 - 129.4] 而且以目前的形势来看
[129.6 - 132.0] 很难快速说走就走
[132.6 - 135.6] 那么现在已经乙在帮助他了
[135.9 - 137.0] 为什么帮助他呢
[137.3 - 139.4] 天下没有免费的午餐的
[139.4 - 141.8] 那在我理解这背后的利益交换点
[141.8 - 143.8] 應該就是亞伯拉罕協議了
[143.8 - 146.8] 當然不是說一定馬上就簽
[146.8 - 150.2] 但整體的方向和思路應該就是這個了
[150.2 - 153.8] 所以如果我來思考的話
[153.8 - 158.3] 在亞伯拉罕協議以沙為帶頭的相關國家
[158.3 - 160.8] 不做出進一步的表態的話
[160.8 - 164.8] 那麼當前的這場中東戰爭是不會結束的
[164.8 - 166.8] 而如果亞伯拉罕協議
[166.8 - 168.8] 在接下來有更實質性的突破的話
[168.8 - 171.3] 其實現在中東的這些博弈
[171.3 - 174.5] 很多事情在實質上就已經結束了
[174.5 - 175.8] 那我們要理解的是
[175.8 - 177.1] 其實對於沙來說
[177.1 - 180.8] 他不希望現在伊的這個政權模式
[180.8 - 181.9] 就這麼結束了
[181.9 - 184.7] 或者是說就要徹底的改變了
[184.7 - 188.6] 他希望的是一個盡可能被削弱的伊
[188.6 - 190.7] 不是那麼強大的伊
[190.7 - 192.1] 因為對於沙來說
[192.1 - 195.9] 他希望能夠做整個中東的這個領導
[195.9 - 197.2] 如果他希望做這件事情
[197.2 - 201.3] 那麼就要有一個相對比較強大的
[201.3 - 204.8] 但又不是那么强大的一来制衡
[204.8 - 208.7] 而如果沙接下来要去选择去签
[208.7 - 209.7] 加拉罕协议的话
[210.1 - 214.9] 也就意味着跟已之间没有那条原则性的
[214.9 - 215.8] 边界的line了
[216.5 - 218.6] 这条line里边第一包括
[218.9 - 222.7] 为以巴勒斯坦建国为原则性条件
[222.9 - 226.6] 跟已之间进行关系正常化的推进
[226.6 - 230.7] 第二接下来会跟有更多的经济
[230.7 - 235.3] 科技、軍事方面的互動、合作
[235.3 - 238.0] 那麼對於沙來說
[238.0 - 240.4] 未來這個地方自己的位置
[240.4 - 243.8] 跟之前他所設想的也就都不一樣
[243.8 - 247.4] 當然這件事情本來其實難度是很大的
[247.4 - 252.2] 但現在沙已經被迫捲入了中東這場戰爭
[252.2 - 253.8] 而剛才前面說了
[253.8 - 256.2] 他已經在正式的開始接受
