[0.0 - 2.9] 我觉得在沙巴总统防御协议这件事情上
[2.9 - 4.5] 大家想的有一点简单了。
[4.5 - 6.6] 当然如果我们只说这件事情本身
[6.6 - 9.2] 它发展的方向就是中东版的北约
[9.2 - 10.7] 而且从土的表态来看
[10.7 - 13.1] 接下来应该是会有越来越多的国家加入的
[13.1 - 15.7] 那下一个大概率就是埃及
[15.7 - 17.6] 好那这件事情我们再往深想一想
[17.6 - 20.2] 从表面上看好像是要保护沙
[20.2 - 23.1] 因为像巴它是有核的
[23.1 - 26.6] 而土呢它又是北约的成员国
[26.6 - 28.8] 所以如果沙进一步都受到了打击
[28.8 - 32.0] 那触发了他们三者的共同防御的话
[32.0 - 35.2] 或者土或者一起就要出手
[35.2 - 36.7] 那我们再想一想
[36.7 - 40.7] 如果在这个过程中土又遭到了相关打击
[40.7 - 44.7] 这是不是就会触发北约的共同防御呢
[44.7 - 48.7] 所以这其实也就意味着北约和中东版的北约
[48.7 - 51.5] 某种程度上已经连接在一起了
[51.5 - 55.9] 所以我们看到的是这两天关于沙巴土的这个共同防御协议
[55.9 - 59.0] 比较多的站在台前跟大家进行分享
[59.0 - 62.0] 或者是说做相关说明的其实是土
[62.0 - 64.1] 所以到这我们是不是就更能说通一些事情
[64.1 - 68.4] 就是不管特对于北约的其他这些国家有多么的不满
[68.4 - 71.7] 但是在一个多月之前他还是去了北约峰会
[71.7 - 73.3] 而他也说得很清楚
[73.3 - 76.1] 他主要就是去见爱尔多安的
[76.1 - 78.7] 所以其实也就意味着从那个时候到现在
[78.7 - 81.2] 对于整个这个地区以及
[81.2 - 85.3] 再进一步北约和这个地区相关的连接
[85.3 - 88.4] 以及土这个重要的桥梁
[88.4 - 90.4] 应该基本上达成一致了
[90.4 - 95.4] 与此同时不排除在美接下来要积极推进的MEC
[95.4 - 97.8] 也就是中东新经济走廊这件事情
[97.8 - 100.9] 会把土从以前不在这里边
[100.9 - 102.8] 逐渐转为纳入其中
[102.8 - 103.9] 所以对于土来说
[103.9 - 106.0] 一方面是希望能够提升
[106.0 - 108.8] 自己在整个大中东这个地方的
[108.8 - 110.0] 不管是军事实力
[110.0 - 112.4] 还是跟伊之间的抗衡实力
[112.4 - 115.5] 另外一方面就是全方位的经济融入
[115.5 - 117.0] 好那到这还没有完
[117.0 - 119.3] 再接下来一步其实是更重要的
[119.3 - 123.9] 就是对于中东版的这个小北约提出来
[123.9 - 126.8] 首先其实是要看大家相关的反应的
[126.8 - 129.9] 首先要看的是中东这些阿拉伯国家的反应
[129.9 - 131.9] 然后要看一的反应
[131.9 - 133.4] 那我们现在看到的是
[133.4 - 134.9] 中东的这些阿拉伯国家
[134.9 - 138.5] 没有任何一个表示不满或者是说不接受的
[138.5 - 140.6] 而唯一一个站出来
[140.6 - 143.7] 进行非常强烈的反对的其实就是一
[143.7 - 145.6] 也就是说明一非常清楚
[146.0 - 148.0] 这个防御协议的形成
[148.0 - 150.1] 以及接下来如果有越来越多的
[150.1 - 152.0] 中东阿拉伯国家参与的话
[152.0 - 154.5] 那么未来的方向其实就是鼓励它
[154.5 - 157.4] 那只要我们打开地图看一下三个国家的位置
[157.4 - 159.9] 包围的是谁其实就都清楚了
[159.9 - 163.1] 好那这个思路在我理解是在为接下来在亚洲推进
[163.1 - 165.9] 亚洲版的小位约在进行测试
[165.9 - 166.8] 在试水
[166.8 - 168.5] 那模式呢几乎可以复制
[168.5 - 172.8] 也是先由那么三四个国家进行这么一个共同防御协议
[173.0 - 174.3] 然后再看看大家反应
[174.4 - 175.7] 然后再进行扩容
[175.7 - 177.6] 但在这里是有一个非常危险的事情的
[177.6 - 181.1] 就是不排除不只是国家可以参与
[181.6 - 183.7] 某些地区也有可能参与
[183.9 - 184.1] 好
[184.1 - 187.5] 那到这前几个视频中跟大家分享到的
[187.8 - 191.1] 这一次美国出手救了日元汇率
[191.4 - 194.4] 而且是在不得不的情况下救他
[194.6 - 198.4] 而且是在他这么多年以来都没有用过的
[198.4 - 200.2] 直接去干预汇率的
[200.2 - 203.8] 我说的是外国汇率的方式下去进行的
[203.8 - 206.7] 那么未来美一定会让日加倍的
[206.7 - 208.2] 或者是说多倍的还回来的
[208.2 - 209.5] 那作为回馈之一
[209.5 - 212.9] 在亚洲版的小北约上不排除会让日进行牵头
[212.9 - 214.1] 蹚这蹚浑水了
