[0.0 - 3.5] 这两天,伦敦证券交易所宣布要在明年的上半年
[3.5 - 6.3] 推出一个全新的业间交易市场。
[6.3 - 11.1] 首先,不是要让现有的主板市场24小时不打烊,
[11.1 - 13.6] 而是单开一个新的业间市场。
[13.6 - 18.9] 那时间是从当地时间下午的5点到第二天早上的7点50。
[18.9 - 23.6] 与此同时,现有主板的时间8点到下午的4点半保持不变。
[23.6 - 27.6] 那值得注意的是,在初期的时候是不开放单支股票的,
[27.6 - 31.9] 而是推出了2600多个交易所交易品种ETPS
[31.9 - 35.3] 比如追踪英国的美国的等重要股市的ETF
[35.3 - 36.9] 当前是筹备阶段
[36.9 - 40.1] 预计在今年年底之前完成客户的测试
[40.1 - 42.1] 好 轮交所为什么要做这件事情呢
[42.1 - 46.3] 首先也是最直接的就是吸引亚洲和中东的散户了
[46.3 - 49.3] 亚洲不用说了 伦敦的晚上就是我们的白天
[49.3 - 50.7] 对于中东的用户来说
[50.7 - 53.8] 比如伦敦下午收盘迪拜那时候就是晚上了
[53.8 - 56.3] 散户想看盘调仓就没有办法了
[56.3 - 58.0] 所以把时间拉长了
[58.0 - 61.6] 其实也是想覆盖中东晚上的这些休闲时间
[61.6 - 62.6] 而且刚才前面说了
[62.6 - 64.9] 那最先推出的是ETPS
[64.9 - 67.4] 那这其实也就意味着中东的这些散户
[67.4 - 69.0] 不用等到美股开盘
[69.0 - 71.5] 就可以提前去做相应的布局
[71.5 - 73.3] 那还有一点其实也很重要
[73.3 - 75.3] 就是在伦敦的交易所上面
[75.3 - 79.3] 其实是挂牌了大量符合伊斯兰教法的投资产品的
[79.3 - 83.6] 所以其实伦敦是整个西半球最大的伊斯兰金融中心
[83.6 - 84.4] 所以综上
[84.4 - 86.9] 其实轮交所是中东的这些散户
[86.9 - 89.3] 最想炒股的休闲时间场所
[89.3 - 91.8] 第二就是要应对发展速度非常快的
[91.8 - 93.1] 加密市场的竞争了
[93.1 - 95.6] 加密货币市场7成24小时无休
[95.6 - 98.4] 这种运作模式非常容易去吸引
[98.4 - 99.7] 年轻散户的注意力
[99.7 - 102.2] 与此同时之前这几个视频也跟大家分享过
[102.2 - 105.8] 现在已经开始陆续相关美的交易所
[105.8 - 107.2] 都开始在动
[107.2 - 108.7] 延长交易时间
[108.7 - 111.3] 吸收更多的流动性的主意了
[111.3 - 113.6] 所以对于轮交所来说必须要跟上
[113.6 - 115.0] 否则不进则退
[115.0 - 116.1] 第三这一两年
[116.1 - 118.5] 尤其是近半年这几个月以来
[118.5 - 120.5] 大家应该更切身的感受到
[120.5 - 122.5] 国际上的一些突发事件
[122.5 - 125.2] 尤其是跟地缘政治相关的突发事件
[125.2 - 127.7] 越来越直接的影响到资本市场了
[127.7 - 129.3] 突如其来的某个决定
[129.3 - 132.5] 几句话都会让金融市场上窜下跳
[132.5 - 134.5] 所以伦交所接下来要开一个新的市场
[134.5 - 136.6] 其实也是希望能够让这些投资者
[136.6 - 138.9] 在非正股交易时间段
[138.9 - 141.2] 当遇到这样的突发事件的时候
[141.2 - 143.7] 能够在第一时间避险或者调仓
[143.7 - 145.7] 对于相关风险进行对冲
[145.7 - 146.0] 好
[146.0 - 147.4] 那我们来说说这件事情
[147.4 - 149.1] 未来有可能产生哪些影响
[149.3 - 150.5] 首先积极的一面
[150.5 - 152.6] 肯定是对于投资者来说
[152.6 - 155.0] 有了更多的选择时间和空间
[155.0 - 155.9] 跨时区的投资者
[155.9 - 158.7] 不再限定于之前8.5个小时的窗口了
[158.9 - 160.8] 对冲工具也更丰富了
[160.8 - 161.3] 与此同时
[161.3 - 163.8] 其实也是填补了欧洲在收盘之后
[163.8 - 166.8] 到第二天开盘之前的真空期
[166.8 - 169.7] 那也有助于让股市的价格更为连续
[169.7 - 173.9] 从而进一步的去掌握更多的资产定价权
[173.9 - 175.9] 当然与此同时挑战也是显而易见的
[175.9 - 180.1] 首先就是对于像券商清算后台的直接运营压力了
[180.1 - 182.0] 所有的系统都要跟着升级
[182.0 - 185.6] 而且像风控系统清算周期都要与之匹配
[185.6 - 189.8] 不管是要加人手还是要加机器还是要提升算法
[189.8 - 191.5] 总之都是钱的投入
[191.5 - 193.0] 而如果说到钱的话
[193.0 - 198.0] 就得新增一批既专业又愿意上夜班的人力团队了
[198.0 - 199.2] 第二既然是夜盘
[199.2 - 201.4] 而且又是非正股的市场交易
[201.4 - 203.6] 那么交易量整体其实并不大
[203.6 - 206.5] 那这其实就有可能导致挂单的深度不足
[206.5 - 209.3] 或者是价格的差距拉得也大
[209.3 - 210.9] 那这对于散户来说
[210.9 - 212.7] 其实交易成本就在提升了
[212.7 - 214.1] 好那最后我们再来说说
[214.1 - 216.1] 伦交所接下来推进这件事情
[216.1 - 218.8] 对于亚洲相关交易所的现实挑战
[218.8 - 220.8] 那现在不管是我们的A股
[220.8 - 223.2] 港股还是日韩新加坡
[223.2 - 226.3] 其实整体基本上都是比较传统的交易模式
[226.3 - 228.2] 而且像A股港股日股
[228.2 - 230.4] 还都保留着中午午休的习惯
[230.4 - 232.1] 而且这几个交易所的交易时间
[232.1 - 235.5] 基本上都是低于欧美交易所的整体交易时间的
[235.5 - 239.8] 所以当伦交所也迈向了24小时的交易模式之后
[240.2 - 244.5] 那对于整个的亚太股市是一个非常现实的倒逼了
[244.5 - 246.9] 那不管是取消午休还是增加夜盘
[246.9 - 248.9] 在我来看这是整体的大趋势
[248.9 - 250.3] 那昨天大家应该也看到了
[250.3 - 251.3] 港交所也说了
[251.3 - 254.5] 接下来如果有这方面的考虑会优先延长
[254.5 - 256.4] 衍生品交易时间段
[256.4 - 258.4] 虽然第一阶段针对的不是股票市场
[258.4 - 261.0] 但其实已经能非常明显的看出
[261.0 - 264.5] 这就是要应对全球跨时区资金
[264.5 - 266.7] 进行风险对冲的现实需求
[266.7 - 268.4] 否则如果你的交易窗口小
[268.4 - 270.0] 资金就会被分化的
[270.0 - 272.6] 那么不管是对于资产的定价权
[272.6 - 275.6] 还是香港未来的国际金融中心地位
[275.6 - 276.5] 都会受到影响
[276.5 - 278.3] 那再我来看港交所接下来
[278.3 - 280.9] 可以从衍生品市场扩展到股票市场
[280.9 - 282.5] 未来不排除
[282.5 - 285.3] 还可以从港股扩展到我们的A股
[285.3 - 289.1] 那在这个过程中就是对产品机制规则系统
[289.5 - 291.5] 清算体系风控体系等等
[291.5 - 293.5] 要提出全新的要求了
[293.5 - 295.3] 那整体的思路其实就是要跟
[295.3 - 297.4] 全新的国际规则去接轨了
[297.4 - 298.9] 所以对于我们A股市场来说
[298.9 - 301.1] 如果希望能够在下一个阶段
[301.1 - 304.3] 就是非常激烈的争夺全球资本市场
[304.3 - 305.7] 流动性的这个阶段
[305.9 - 307.1] 能够有更多的机会的话
[307.1 - 309.3] 那么对于我们当下市场需要提升的
[309.3 - 310.0] 一些方面
[310.0 - 311.5] 应该也是要加速了的
