[0.0 - 3.5] 很多朋友都在问说能不能聊一聊关于昨天财政部公布的
[3.5 - 7.7] 接下来要推进的扩大常债的流动性回购
[7.7 - 10.3] 那之所以我要先发前面那条
[10.3 - 14.0] 关于英伟达正在编译一个新故事的视频
[14.0 - 18.1] 其实就是希望能够让朋友们先去理解那件事情
[18.1 - 21.3] 然后这件事情可能就更能理解了
[21.3 - 23.6] 如果大家认为他们的这个操作
[23.6 - 26.1] 只是想把长端利率压下来
[26.1 - 30.0] 从而去降低美国财政部的利息开支的话
[30.4 - 31.7] 那只是看了一方面
[31.7 - 33.9] 从前面这条视频大家应该能理解
[33.9 - 38.6] 从英伟达开始就在构建新的融资循环体系
[38.6 - 41.5] 那这其实也就说明他非常清晰的看到
[41.5 - 45.9] 美国的这些AI科技公司在资本开支上的不断加大
[45.9 - 51.6] 以及他对于这些公司未来能不能有更加持续的现金流
[51.6 - 54.1] 买自己的GPU是有所担忧的
[54.1 - 58.9] 也就是说现在这些AI科技公司的资金压力是非常大的
[58.9 - 63.9] 好 那这些科技公司不仅是在资本市场上进行直接融资
[63.9 - 66.6] 还越来越多的在发债
[66.6 - 72.7] 2026年以来这些科技公司发债规模已经超过2200亿美元了
[72.7 - 78.4] 而这个数已经超过2025年全年1080亿美元
[78.4 - 81.6] 那另外像甲骨文它背着早期收购回购
[81.6 - 85.2] 所留下来的将近1300亿美元的债
[85.2 - 87.4] 如今为了AI继续大力举债
[87.4 - 90.4] 2020年准备借500亿美元的债
[90.4 - 95.6] 而英伟达也是在今年完成了5年以来的首次发债
[95.6 - 97.8] 明面上发了250亿美元的债
[97.8 - 100.4] 而听了前面的视频大家就理解
[100.4 - 104.4] 还有5000亿美元的潜在的表外负债
[104.4 - 108.0] 再说像美光科技也发行投资级债券
[108.0 - 110.4] 近两年已经累积几十亿美元了
[110.4 - 113.8] 再有就是像电力公司以及数据中心运营商
[113.8 - 117.2] 过去一年也发了上百亿美元的绿色债券
[117.2 - 120.9] 好了 这些科技公司很缺钱要发债
[120.9 - 125.3] 那他们发债的重要参考指标就是美债
[125.3 - 129.0] 尤其是10年 30年的长期美债收益率
[129.0 - 131.0] 短债收益率4.5%左右
[131.0 - 134.4] 而长债收益率6.5%甚至7%
[134.4 - 137.2] 所以如果美债收益率不断走高
[137.2 - 141.4] 不仅是美国财政部要面对更多的利息支出
[141.8 - 146.2] 而是会直接影响到这些科技公司的现实成本
[146.2 - 147.5] 而成本越来越高
[147.5 - 151.1] 也就意味着他们借钱的难度也就会越来越大
[151.1 - 155.5] 如此一来他们的AI投资的节奏有可能就会变慢了
[155.5 - 158.2] 而这就会直接影响到整体的美股了
[158.5 - 159.3] 不仅如此
[159.3 - 161.5] 大家还记得那卧食
[161.5 - 164.7] 他当时说的未来的美国经济发展
[164.7 - 166.4] 其中有非常重要的一块
[166.4 - 168.6] 就是ai所带来的繁荣
[168.6 - 170.4] 好 那如果 我说的是如果
[170.4 - 174.6] 在今年 ai就被发现有可能要节奏变慢的话
[174.6 - 177.2] 美联储接下来要推进的
[177.2 - 180.0] 当然我说的是以卧食为主的美联储
[180.0 - 184.0] 要推进的潜在的降息逻辑就很难成立了
[184.0 - 185.8] 而不知道大家有没有关注到
[185.8 - 187.6] 这几天美股的调整
[187.6 - 190.6] 其实主要就是以ai半导体为主的
[190.6 - 193.4] 而一些刚性需求的行业
[193.4 - 195.0] 其实跌的并不明显
[195.0 - 196.8] 甚至有一些还是在上涨的
[196.8 - 199.0] 而昨天美国财政部公布的这个事情
[199.0 - 200.9] 其实9月9号才实行
[200.9 - 203.3] 那提前这么多天要公布
[203.3 - 205.8] 在我理解就是要快速的去压
[205.8 - 207.4] 美国偿债的收益率
[207.4 - 211.5] 那之所以在债市上会出现这段时间的抛售
[211.5 - 215.3] 我理解就是市场对于接下来美联储
[215.3 - 218.2] 降息预期是越来越低了
[218.2 - 219.6] 不一定会加息
[219.6 - 223.8] 但大家整体可能会按照不动去进行观望
[223.8 - 225.8] 而当这种共识越来越统一的话
[225.8 - 229.0] 那么就会进一步的去引发常债的抛售
[229.0 - 231.8] 如此对于这些AI科技公司的发债压力
[231.8 - 234.6] 以及常债成本也就会越来越大了
[234.6 - 236.2] 现在对于美股来说
[236.2 - 239.0] 或者是说对于他们的AI叙事来说
[239.0 - 241.8] 一方面是要有充足的时间
[241.8 - 244.2] 另外一方面就是要有充足的资金
[244.2 - 249.8] 再有就是要不断的绑上全球更多的资本市场
[249.8 - 252.6] 从前面的视频大家就应该能理解
[252.6 - 255.6] 在我来看 这是一个很现实的定时炸弹
[255.6 - 260.6] 那这一次美国财政部它不是在削减总的债务
[260.6 - 263.8] 它是通过发行短端债券筹集资金
[263.8 - 266.4] 然后再回购长端的老债
[266.4 - 269.8] 所以这其实就是一个债务期限结构的转换
[269.8 - 271.6] 不过到这儿大家可以看一看
[271.6 - 274.6] 其实全球都在做着类似的事情
[274.6 - 278.8] 当前全球政府的债务已经超过350万亿美元了
[279.2 - 282.3] 好像并不怎么在乎本金
[282.3 - 285.1] 大家都在考慮的是怎麼還利息
[285.1 - 287.6] 而現在不僅是債務利息的問題
[287.6 - 291.6] 還有就是要能支撐AIA繼續蒙眼狂奔的問題
[291.6 - 293.9] 而這其實不僅是對於美國的資本市場
[293.9 - 297.6] 對全球很多的資本市場其實都是類似的問題
